A50HnCp7_IR24HnCp7	logFC	logCPM	PValue	FDR	level	MeanA	MeanB	A50HnCp7r1	A50HnCp7r2	A50HnCp7r3	A50HnCp7r4	A50HnCp7r5	A50HnCp7r6	A50HnCp7r7	A50HnCp7r8	A50HnCp7r9	A50HnCp7r10	A50HnCp7r11	A50HnCp7r12	A50HnCp7r13	A50HnCp7r14	A50HnCp7r15	IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15
OTU_107	1.478	12.387	3.43223641017469e-05	0.00105689210837448	Enriched	0.292	0.105	0.213	0.305	0.089	0.283	0.38	0.521	0.371	0.481	0.308	0.35	0.257	0.359	0.191	0.145	0.125	0.536	0.113	0.06	0.135	0.016	0.07	0.073	0.083	0.042	0.083	0.06	0.102	0.067	0.093	0.039
OTU_786	-0.115	9.964	0.232811909318818	0.390791419213731	NotSig	0.012	0.014	0.005	0.008	0.1	0.002	0.006	0.002	0.006	0.003	0.007	0.012	0.002	0.009	0.003	0.002	0.02	0.012	0.01	0.036	0.004	0.014	0.003	0.014	0.006	0.002	0.002	0.009	0.024	0.005	0.012	0.05
OTU_252	0.636	12.128	0.80633377841523	0.883504373159264	NotSig	0.071	0.046	0.015	0.018	0.191	0.107	0.027	0.022	0.018	0.015	0.028	0.061	0.011	0.03	0.032	0.044	0.448	0.023	0.031	0.032	0.025	0.127	0.112	0.015	0.04	0.027	0.049	0.02	0.036	0.014	0.116	0.016
OTU_4	0.871	15.867	1.79218956053449e-06	0.000283486890033451	Enriched	4.369	2.388	3.68	2.632	4.273	5.975	4.603	3.473	4.005	5.176	4.124	4.57	4.27	4.912	4.253	4.057	5.529	4.072	2.295	2.715	1.714	1.257	1.9	2.219	2.938	0.929	2.509	3.472	3.617	1.778	2.629	1.778
OTU_21	0.673	13.621	5.61896554302828e-05	0.00142039843178087	Enriched	0.828	0.519	0.894	1.026	1.26	0.598	0.889	0.596	0.888	0.595	0.656	1.016	0.949	0.952	0.774	0.742	0.58	0.366	0.705	0.462	0.717	0.485	0.426	0.342	0.396	0.493	0.324	0.756	0.537	0.676	0.512	0.589
OTU_8	0.963	15.262	2.5142227647786e-06	0.000283486890033451	Enriched	2.717	1.394	2.166	1.58	2.716	3.93	2.623	2.28	2.606	3.176	2.816	3.192	2.576	2.785	2.843	2.164	3.307	2.409	1.379	1.756	0.874	0.547	1.054	1.263	1.738	0.556	1.267	2.171	2.057	1.025	1.659	1.148
OTU_1	-0.212	18.516	0.000996702371208616	0.00872603154401269	NotSig	25.55	29.588	21.852	20.935	28.552	25.125	21.961	23.721	26.174	28.355	23.828	28.244	25.159	22.326	29.838	27.692	29.484	30.708	26.701	28.702	27.664	25.723	37.477	31.239	28.832	30.719	31.675	28.256	25.761	30.981	29.127	30.25
OTU_192	0.87	10.719	0.0164317222193857	0.0601374095979975	Enriched	0.1	0.055	0.135	0.016	0.166	0.143	0.086	0.026	0.042	0.067	0.126	0.113	0.11	0.064	0.146	0.091	0.169	0.01	0.147	0.032	0.021	0.081	0.04	0.052	0.093	0.044	0.076	0.023	0.034	0.101	0.047	0.017
OTU_54	-2.667	14.548	7.12105247685755e-05	0.00155099996630092	Depleted	0.118	0.752	0.139	0.068	0.12	0.081	0.083	0.014	0.077	0.114	0	0.03	0.069	0.05	0.057	0.073	0.799	0.027	1.528	0.56	0.829	0.238	0.581	0.227	0.779	0.21	1.043	0.729	0.645	2.396	0.795	0.694
OTU_7	0.865	12.74	0.0127990313408827	0.0499106331327872	Enriched	0.254	0.139	0.308	0.141	0.109	0.192	0.342	0.163	0.065	0.138	0.376	0.684	0.13	0.233	0.669	0.143	0.111	0.012	0.25	0.064	0.055	0.314	0.07	0.322	0.092	0.122	0.063	0.023	0.074	0.472	0.082	0.076
