A50HnSz7_IR24HnSz7	logFC	logCPM	PValue	FDR	level	MeanA	MeanB	A50HnSz7r1	A50HnSz7r2	A50HnSz7r3	A50HnSz7r4	A50HnSz7r5	A50HnSz7r6	A50HnSz7r7	A50HnSz7r8	A50HnSz7r9	A50HnSz7r10	A50HnSz7r11	A50HnSz7r12	A50HnSz7r13	A50HnSz7r14	A50HnSz7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
OTU_107	1.145	10.932	6.0619803284549e-05	0.00100247193209449	Enriched	0.132	0.06	0.093	0.084	0.069	0.139	0.114	0.129	0.039	0.184	0.148	0.192	0.195	0.173	0.171	0.161	0.089	0.033	0.08	0.042	0.072	0.023	0.046	0.049	0.057	0.04	0.046	0.078	0.043	0.058	0.101	0.07	0.051	0.122
OTU_786	0.639	8.175	0.495884971462072	0.642563768243392	NotSig	0.01	0.006	0.007	0.006	0.002	0.018	0.021	0.029	0.018	0.003	0.005	0.017	0.003	0.002	0	0.014	0	0.007	0.002	0	0.012	0.003	0.011	0.017	0.004	0	0.007	0.004	0.004	0.006	0.018	0.006	0.004	0
OTU_252	1.574	11.114	0.00410922863412663	0.0207318710185033	Enriched	0.055	0.018	0.039	0.029	0.023	0.086	0.222	0.007	0.189	0.04	0.015	0.017	0.031	0.048	0.004	0.028	0.05	0.012	0.005	0.007	0.014	0.012	0.013	0.002	0.035	0.018	0.007	0.022	0.099	0.014	0.014	0.012	0.027	0
OTU_4	0.248	14.369	0.202162267762553	0.349189371589865	NotSig	1.076	0.906	0.895	0.78	0.816	1.256	0.943	1.023	0.362	1.144	0.579	1.693	1.865	0.892	1.9	1.278	0.72	0.867	1.564	0.865	0.607	0.561	0.432	0.595	0.76	1.555	0.218	0.585	0.933	0.586	0.338	1.542	1.285	2.116
OTU_21	0.524	13.69	0.0197173625977051	0.0666954727263283	Enriched	0.691	0.481	0.766	1.322	0.686	0.744	0.464	0.636	0.425	0.516	0.456	0.452	0.783	0.656	0.498	0.923	1.045	0.274	0.53	0.366	0.639	0.532	0.355	0.56	0.774	0.546	0.327	0.479	0.299	0.377	0.812	0.466	0.465	0.377
OTU_8	0.06	14.245	0.433072544797211	0.581554560156255	NotSig	0.755	0.724	0.609	0.562	0.482	0.841	0.572	0.711	0.222	0.788	0.407	1.366	1.145	0.811	1.435	0.831	0.543	0.758	1.331	0.694	0.476	0.495	0.267	0.429	0.625	1.227	0.165	0.47	0.687	0.431	0.33	1.162	0.827	1.941
OTU_1	-0.31	18.218	2.50157886534944e-05	0.000519513936455128	Depleted	20.523	25.441	19.39	18.871	22.521	17.175	16.669	22.1	22.924	22.608	18.265	19.478	20.674	19.822	24.392	18.976	23.973	25.359	26.221	28.125	23.51	29.237	28.456	26.637	20.797	24.123	22.21	23.645	21.582	26.018	24.591	23.038	30.49	28.463
OTU_192	1.482	10.405	0.00519480097419475	0.0249406304836339	Enriched	0.047	0.017	0.027	0.047	0.03	0.066	0.068	0.08	0.036	0.02	0.136	0.093	0.022	0.056	0.011	0.014	0.006	0.043	0.026	0.017	0.004	0.014	0.017	0.007	0.02	0.033	0.007	0.022	0	0.012	0.025	0.034	0.006	0
OTU_54	-1.941	14.494	1.31866720855758e-06	7.85046544827944e-05	Depleted	0.329	1.265	0.125	0.131	1.337	0.324	0.255	0.522	0.024	0.369	0.278	0.227	0.19	0.308	0.301	0.355	0.193	1.23	0.78	0.761	2.308	0.546	1.196	0.807	2.153	0.441	1.231	0.936	1.131	1.176	2.065	0.966	2.273	1.5
OTU_7	2.02	11.576	5.61759301447182e-06	0.000205089991101723	Enriched	0.066	0.016	0.025	0.073	0.043	0.106	0.057	0.031	0.305	0.02	0.079	0.061	0.027	0.036	0.03	0.055	0.039	0.029	0.057	0.037	0.006	0.012	0.013	0.015	0.018	0.02	0.002	0.02	0.004	0.01	0.011	0.006	0.01	0.006
OTU_6	2.027	12.226	1.31866720855758e-06	7.85046544827944e-05	Enriched	0.128	0.031	0.109	0.125	0.05	0.21	0.152	0.058	0.479	0.05	0.133	0.143	0.115	0.062	0.108	0.046	0.074	0.05	0.035	0.032	0.012	0.063	0.052	0.022	0.047	0.02	0.019	0.033	0.016	0.05	0.029	0.021	0.011	0.018
OTU_51	0.816	11.493	0.277695200221055	0.440465033387926	NotSig	0.07	0.04	0.034	0.035	0.018	0.03	0.019	0.004	0.189	0.017	0.052	0.242	0.053	0.288	0.019	0.025	0.022	0.06	0.049	0.007	0.022	0.014	0.028	0.012	0.01	0.015	0	0.259	0.064	0.012	0.036	0.025	0.027	0.034
OTU_173	0.641	11.57	0.390278827762123	0.542864475376287	NotSig	0.066	0.042	0.039	0.026	0.235	0.041	0.019	0.004	0.075	0.04	0.02	0.026	0.029	0.304	0.015	0.076	0.035	0.002	0.016	0.015	0.02	0.02	0.04	0.022	0.031	0.038	0.012	0.142	0.109	0.03	0.108	0.021	0.069	0.018
OTU_9	0.416	15.261	0.0442371980393504	0.120072394678237	Enriched	2.46	1.844	1.586	1.767	1.883	3.367	1.927	3.92	2.29	2.737	2.262	1.716	3.926	2.164	3.469	2.416	1.473	2.181	2.214	1.391	2.066	2.29	1.067	1.478	1.307	2.72	1.203	2.194	1.958	1.597	1.774	2.041	1.836	2.036
OTU_166	1.57	10.659	1.55800707456119e-05	0.000365606285439284	Enriched	0.077	0.026	0.023	0.079	0.073	0.111	0.112	0.06	0.162	0.023	0.128	0.08	0.082	0.058	0.041	0.044	0.074	0.014	0.035	0.04	0.02	0.029	0.028	0.03	0.023	0.036	0.025	0.029	0.027	0.012	0.047	0.006	0.021	0.015
OTU_264	0.829	10.943	0.00410922863412663	0.0207318710185033	Enriched	0.106	0.059	0.114	0.044	0.066	0.066	0.078	0.118	0.03	0.084	0.128	0.102	0.173	0.197	0.093	0.094	0.197	0.017	0.073	0.057	0.072	0.032	0.072	0.054	0.035	0.073	0.042	0.033	0.054	0.105	0.101	0.067	0.053	0.07
OTU_1593	-2.642	9.483	0.000111447312765832	0.0015422303323111	Depleted	0.002	0.016	0	0.003	0.009	0.005	0.004	0.002	0.003	0	0	0	0.003	0.004	0	0.002	0	0.007	0.009	0.007	0.008	0.006	0.009	0.072	0.006	0.004	0.019	0.002	0.008	0.026	0.065	0.009	0.006	0.003
OTU_650	-1.136	7.941	0.0125276551243821	0.0495763003870938	Depleted	0.004	0.009	0.005	0	0.005	0	0.004	0	0	0.01	0.005	0	0.005	0.01	0.011	0.002	0.006	0.005	0.024	0.01	0.006	0.009	0.007	0.007	0.025	0.009	0.009	0.002	0.008	0.002	0.011	0.003	0.011	0.012
