	A50HnCp7r4	A50HnCp7r6	A50HnCp7r14	A50HnCp7r11	A50HnCp7r10	A50HnCp7r7	A50HnCp7r2	A50HnCp7r13	A50HnCp7r8	A50HnCp7r15	A50HnCp7r5	A50HnCp7r9	A50HnCp7r1	A50HnCp7r12	A50HnCp7r3	IR24HnCp7r14	IR24HnCp7r13	IR24HnCp7r1	IR24HnCp7r12	IR24HnCp7r11	IR24HnCp7r10	IR24HnCp7r4	IR24HnCp7r8	IR24HnCp7r6	IR24HnCp7r9	IR24HnCp7r5	IR24HnCp7r3	IR24HnCp7r15	IR24HnCp7r2	IR24HnCp7r7	A50HnSz7r6	A50HnSz7r9	A50HnSz7r14	A50HnSz7r1	A50HnSz7r7	A50HnSz7r8	A50HnSz7r5	A50HnSz7r12	A50HnSz7r10	A50HnSz7r13	A50HnSz7r4	A50HnSz7r11	A50HnSz7r15	A50HnSz7r3	A50HnSz7r2	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r17	IR24HnSz7r13	IR24HnSz7r7	IR24HnSz7r14	IR24HnSz7r1	IR24HnSz7r6	IR24HnSz7r2	IR24HnSz7r5	IR24HnSz7r16	IR24HnSz7r8	IR24HnSz7r4	IR24HnSz7r15	IR24HnSz7r3	IR24HnSz7r10	IR24HnSz7r9
A50HnCp7r4	0.0	0.3315	0.289	0.3006	0.294	0.2929	0.3714	0.2845	0.3166	0.2716	0.2934	0.2952	0.3221	0.3203	0.3028	0.3753	0.3834	0.3883	0.3469	0.3568	0.3604	0.4143	0.3522	0.4159	0.4007	0.4001	0.3566	0.3854	0.3666	0.3704	0.4474	0.4589	0.4725	0.4901	0.4508	0.4364	0.4815	0.4433	0.4503	0.402	0.4837	0.4099	0.4353	0.4333	0.4747	0.4734	0.4885	0.4554	0.4671	0.4843	0.4496	0.487	0.489	0.4234	0.465	0.4973	0.508	0.4679	0.476	0.4589	0.5539	0.4364
A50HnCp7r6	0.3315	0.0	0.3291	0.3377	0.3437	0.3017	0.3335	0.34	0.3491	0.3325	0.3034	0.354	0.3324	0.3843	0.3603	0.3897	0.3801	0.3804	0.3455	0.3462	0.3992	0.3971	0.3773	0.4235	0.4012	0.408	0.3716	0.3745	0.3591	0.3854	0.4414	0.4987	0.4745	0.4992	0.483	0.4384	0.4855	0.4392	0.4789	0.4162	0.5001	0.4425	0.4305	0.4253	0.4756	0.4564	0.5044	0.4552	0.4537	0.4813	0.4442	0.494	0.4791	0.4402	0.4894	0.4902	0.4959	0.4552	0.4815	0.4715	0.5202	0.4428
A50HnCp7r14	0.289	0.3291	0.0	0.3091	0.2903	0.2887	0.3757	0.2683	0.3217	0.2724	0.3205	0.3301	0.3368	0.3321	0.2876	0.3581	0.364	0.3502	0.3317	0.3364	0.3488	0.3863	0.339	0.3974	0.3866	0.3992	0.3332	0.3744	0.3501	0.3744	0.453	0.4859	0.4855	0.4884	0.4549	0.4399	0.4881	0.4492	0.4588	0.4069	0.4902	0.4167	0.4405	0.44	0.4719	0.4645	0.492	0.4111	0.4614	0.4633	0.4519	0.4808	0.4412	0.4127	0.4271	0.4452	0.5049	0.4743	0.493	0.4234	0.5427	0.4381
A50HnCp7r11	0.3006	0.3377	0.3091	0.0	0.3198	0.2865	0.3664	0.3231	0.3347	0.3211	0.323	0.3278	0.3545	0.3382	0.3278	0.391	0.3934	0.3804	0.3559	0.3647	0.4122	0.4094	0.3634	0.4349	0.4243	0.4033	0.3675	0.3932	0.3731	0.3908	0.4798	0.4991	0.4898	0.5192	0.4596	0.4623	0.509	0.4535	0.4836	0.4251	0.5222	0.4265	0.4611	0.4573	0.4944	0.464	0.5178	0.4539	0.479	0.5117	0.4625	0.494	0.4946	0.4453	0.4926	0.4832	0.5031	0.4931	0.4966	0.4769	0.5498	0.4543
A50HnCp7r10	0.294	0.3437	0.2903	0.3198	0.0	0.2986	0.4144	0.2484	0.323	0.2787	0.3344	0.3145	0.3535	0.3682	0.2997	0.3678	0.3515	0.3737	0.3632	0.3512	0.3666	0.4058	0.3308	0.3941	0.3877	0.3895	0.3422	0.3674	0.3656	0.3474	0.4574	0.4984	0.4841	0.5015	0.4489	0.4421	0.4956	0.4484	0.4611	0.4181	0.4894	0.4262	0.4318	0.4477	0.4715	0.4856	0.5018	0.4332	0.4672	0.4744	0.4593	0.4848	0.4596	0.4181	0.4329	0.464	0.5275	0.4876	0.4814	0.4366	0.5725	0.4429
A50HnCp7r7	0.2929	0.3017	0.2887	0.2865	0.2986	0.0	0.3362	0.3038	0.3022	0.2942	0.3018	0.318	0.323	0.3379	0.3107	0.3585	0.3574	0.3308	0.3282	0.3221	0.3454	0.3548	0.3495	0.3852	0.3786	0.4061	0.3254	0.3606	0.3453	0.3375	0.4406	0.4834	0.4718	0.4938	0.4857	0.4394	0.4802	0.4332	0.4712	0.3963	0.4991	0.4261	0.4271	0.4266	0.4707	0.4579	0.4949	0.4077	0.4293	0.4493	0.4354	0.4763	0.444	0.4011	0.4304	0.4485	0.4814	0.4376	0.4696	0.4242	0.5128	0.4287
A50HnCp7r2	0.3714	0.3335	0.3757	0.3664	0.4144	0.3362	0.0	0.4021	0.3695	0.3738	0.3135	0.4072	0.3213	0.362	0.3788	0.3919	0.4009	0.4067	0.3796	0.3663	0.4126	0.3826	0.4064	0.4278	0.4349	0.4168	0.4006	0.3835	0.3953	0.3869	0.4675	0.5039	0.4641	0.4917	0.5076	0.4434	0.4822	0.4409	0.4827	0.4604	0.4913	0.4423	0.463	0.4355	0.4682	0.4577	0.51	0.4755	0.4605	0.4947	0.4461	0.5069	0.499	0.469	0.5004	0.4765	0.4802	0.4634	0.4829	0.4894	0.4947	0.472
A50HnCp7r13	0.2845	0.34	0.2683	0.3231	0.2484	0.3038	0.4021	0.0	0.3315	0.2635	0.32	0.3166	0.3367	0.3611	0.2706	0.36	0.3156	0.3792	0.3571	0.3491	0.3309	0.4052	0.341	0.3842	0.3665	0.3939	0.3236	0.3585	0.3528	0.3335	0.4612	0.4798	0.4851	0.4894	0.439	0.4372	0.4898	0.4443	0.4631	0.4052	0.4982	0.4223	0.4318	0.448	0.4777	0.4773	0.4985	0.4336	0.4641	0.4754	0.4639	0.4777	0.4567	0.4121	0.4369	0.4624	0.5153	0.4864	0.4809	0.4237	0.5657	0.4462
A50HnCp7r8	0.3166	0.3491	0.3217	0.3347	0.323	0.3022	0.3695	0.3315	0.0	0.2976	0.3244	0.3291	0.3286	0.3284	0.3397	0.3641	0.3946	0.2969	0.3771	0.3603	0.3846	0.4045	0.3893	0.4172	0.4463	0.463	0.3832	0.4103	0.4091	0.3913	0.4743	0.5285	0.512	0.5339	0.5071	0.4626	0.524	0.5008	0.4909	0.4441	0.5087	0.4732	0.4775	0.4715	0.5056	0.4881	0.5369	0.4148	0.4652	0.481	0.4668	0.5027	0.4557	0.4402	0.4479	0.449	0.5286	0.4779	0.4967	0.4506	0.5373	0.4599
A50HnCp7r15	0.2716	0.3325	0.2724	0.3211	0.2787	0.2942	0.3738	0.2635	0.2976	0.0	0.3063	0.335	0.3274	0.3479	0.2717	0.3278	0.3297	0.3538	0.3298	0.3082	0.315	0.3731	0.3288	0.3615	0.3555	0.3965	0.3201	0.3262	0.3393	0.331	0.4512	0.4797	0.4742	0.4964	0.4788	0.4365	0.4803	0.4552	0.4569	0.4151	0.4906	0.4284	0.4403	0.4326	0.4769	0.469	0.4922	0.4158	0.451	0.4516	0.4532	0.464	0.4467	0.418	0.4306	0.4367	0.5041	0.4669	0.4737	0.4155	0.5389	0.4461
