Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
A50HnCp7r4	0.236	0.0118	1359.2	0.935	0.661	31.2	117.6	10000.0	1350.0	0.604	0.0649	4.77	6.88	2.07
A50HnCp7r6	0.228	0.0143	1394.5	0.942	0.686	37.0	143.2	10000.0	1387.0	0.568	0.0582	4.96	7.16	2.16
A50HnCp7r14	0.271	0.0104	1313.4	0.919	0.647	25.4	104.0	10000.0	1305.0	0.592	0.0809	4.64	6.70	2.02
A50HnCp7r11	0.237	0.0122	1326.1	0.937	0.668	33.0	121.6	10000.0	1318.0	0.592	0.0631	4.80	6.93	2.08
A50HnCp7r10	0.279	0.00917	1232.8	0.914	0.635	23.3	91.7	10000.0	1225.0	0.577	0.0858	4.52	6.52	1.96
A50HnCp7r7	0.258	0.0105	1256.5	0.927	0.653	27.9	105.2	10000.0	1248.0	0.599	0.0734	4.66	6.72	2.02
A50HnCp7r2	0.209	0.0197	1569.9	0.952	0.719	49.0	197.2	10000.0	1562.0	0.574	0.048	5.28	7.62	2.29
A50HnCp7r13	0.288	0.00933	1325.7	0.910	0.631	22.5	93.3	10000.0	1316.0	0.614	0.0901	4.54	6.54	1.97
A50HnCp7r8	0.271	0.0119	1435.7	0.920	0.658	26.9	118.9	10000.0	1428.0	0.593	0.0796	4.78	6.89	2.08
A50HnCp7r15	0.289	0.00948	1328.2	0.909	0.633	22.3	94.8	10000.0	1320.0	0.606	0.0913	4.55	6.57	1.98
A50HnCp7r5	0.212	0.0179	1539.4	0.949	0.707	44.8	179.0	10000.0	1531.0	0.582	0.0506	5.19	7.48	2.25
A50HnCp7r9	0.228	0.0109	1269.4	0.938	0.657	31.5	108.6	10000.0	1259.0	0.596	0.0623	4.69	6.76	2.04
A50HnCp7r1	0.208	0.0144	1432.6	0.948	0.684	40.1	143.5	10000.0	1425.0	0.596	0.0516	4.97	7.17	2.16
A50HnCp7r12	0.213	0.0155	1500.0	0.946	0.690	39.5	154.6	10000.0	1491.0	0.579	0.0537	5.04	7.27	2.19
A50HnCp7r3	0.284	0.00808	1144.1	0.911	0.624	21.8	80.8	10000.0	1134.0	0.605	0.0894	4.39	6.34	1.91
IR24HnCp7r14	0.278	0.0124	1430.9	0.918	0.664	27.2	124.2	10000.0	1418.0	0.604	0.0816	4.82	6.96	2.09
IR24HnCp7r13	0.295	0.0115	1383.6	0.909	0.657	24.1	115.5	10000.0	1375.0	0.583	0.0912	4.75	6.85	2.06
IR24HnCp7r1	0.297	0.0082	1255.8	0.904	0.618	20.6	82.0	10000.0	1247.0	0.615	0.0958	4.41	6.36	1.91
IR24HnCp7r12	0.248	0.0145	1496.3	0.934	0.681	33.9	145.0	10000.0	1488.0	0.599	0.0663	4.98	7.18	2.16
