#OTUID	A50HnCp7r4	A50HnCp7r6	A50HnCp7r14	A50HnCp7r11	A50HnCp7r10	A50HnCp7r7	A50HnCp7r2	A50HnCp7r13	A50HnCp7r8	A50HnCp7r15	A50HnCp7r5	A50HnCp7r9	A50HnCp7r1	A50HnCp7r12	A50HnCp7r3	IR24HnCp7r14	IR24HnCp7r13	IR24HnCp7r1	IR24HnCp7r12	IR24HnCp7r11	IR24HnCp7r10	IR24HnCp7r4	IR24HnCp7r8	IR24HnCp7r6	IR24HnCp7r9	IR24HnCp7r5	IR24HnCp7r3	IR24HnCp7r15	IR24HnCp7r2	IR24HnCp7r7	A50HnSz7r6	A50HnSz7r9	A50HnSz7r14	A50HnSz7r1	A50HnSz7r7	A50HnSz7r8	A50HnSz7r5	A50HnSz7r12	A50HnSz7r10	A50HnSz7r13	A50HnSz7r4	A50HnSz7r11	A50HnSz7r15	A50HnSz7r3	A50HnSz7r2	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r17	IR24HnSz7r13	IR24HnSz7r7	IR24HnSz7r14	IR24HnSz7r1	IR24HnSz7r6	IR24HnSz7r2	IR24HnSz7r5	IR24HnSz7r16	IR24HnSz7r8	IR24HnSz7r4	IR24HnSz7r15	IR24HnSz7r3	IR24HnSz7r10	IR24HnSz7r9
OTU_107	143	218	70	142	173	125	117	71	164	69	182	132	117	237	48	32	37	278	51	39	49	64	53	43	25	6	28	20	66	48	58	60	70	41	13	55	54	87	89	46	55	115	41	30	29	43	22	40	29	20	28	14	25	34	8	27	28	36	23	17	20	22
OTU_786	1	1	1	1	6	2	3	1	1	11	3	3	3	6	54	4	3	6	12	6	1	2	4	2	1	5	17	26	6	9	13	2	6	3	6	1	10	1	8	0	7	2	0	1	2	2	2	0	3	7	5	3	6	1	1	2	2	6	2	0	3	0
OTU_252	54	9	21	6	30	6	7	12	5	247	13	12	8	20	103	40	8	12	18	13	29	12	26	69	16	47	15	8	18	10	3	6	12	17	63	12	105	24	8	1	34	18	23	10	10	12	51	0	7	1	4	5	7	2	4	14	17	7	4	3	3	10
OTU_4	3018	1452	1957	2359	2258	1349	1011	1577	1765	3051	2206	1766	2017	3240	2310	903	984	2113	1811	2258	1485	810	1886	1173	548	464	1275	917	1338	1455	460	235	555	394	121	341	447	449	783	511	496	1098	333	357	268	321	481	691	291	241	94	364	235	664	195	674	371	303	503	350	94	854
OTU_21	302	249	358	524	502	299	394	287	203	320	426	281	490	628	681	176	374	190	269	492	192	339	254	263	291	179	217	304	411	224	286	185	401	337	142	154	220	330	209	134	294	461	483	300	454	263	154	123	187	227	226	115	193	225	185	244	378	319	152	148	141	300
OTU_8	1985	953	1044	1423	1577	878	607	1054	1083	1825	1257	1206	1187	1837	1468	570	567	1250	1030	1412	750	413	1116	651	328	202	825	592	804	828	320	165	361	268	74	235	271	408	632	386	332	674	251	211	193	258	354	634	214	174	92	318	145	565	172	434	305	238	379	281	71	674
OTU_1	12691	9916	13359	13898	13955	8817	8041	11063	9669	16271	10524	10204	11978	14728	15435	10006	17145	15934	12898	18378	18744	13074	18511	23141	18114	9496	13481	15601	15569	20482	9940	7411	8240	8536	7657	6741	7898	9974	9011	6561	6784	12173	11080	9854	6483	12984	11123	9297	12922	10793	6846	10641	15462	11132	10165	15993	10154	11744	7516	11384	9583	13251
OTU_192	72	11	44	61	56	14	6	54	23	93	41	54	74	42	90	16	56	5	17	15	45	10	60	25	26	30	15	9	86	34	36	55	6	12	12	6	32	28	43	3	26	13	3	13	16	12	0	0	6	3	7	18	9	11	5	3	10	2	11	7	3	18
OTU_54	41	6	35	38	15	26	26	21	39	441	40	0	76	33	65	273	1326	14	323	474	617	392	500	359	124	88	263	358	891	149	235	113	154	55	8	110	121	155	105	81	128	112	89	585	45	514	583	490	584	327	575	516	650	331	190	1192	1051	1153	315	308	531	242
OTU_7	97	68	69	72	338	22	54	248	47	61	164	161	169	154	59	28	261	6	37	15	37	26	59	43	72	116	30	39	146	211	14	32	24	11	102	6	27	18	28	8	42	16	18	19	25	11	2	2	5	6	3	12	7	24	4	5	9	3	2	15	1	11
OTU_6	167	144	186	128	619	31	121	458	119	110	244	298	333	376	114	52	518	15	48	28	52	28	162	78	85	192	106	88	208	402	26	54	20	48	160	15	72	31	66	29	83	68	34	22	43	18	8	6	25	9	8	21	28	15	22	6	23	6	7	13	8	11
OTU_51	8	10	4	10	20	8	6	15	2	13	8	2	6	23	29	26	41	0	18	33	55	4	38	0	25	13	11	65	8	20	2	21	11	15	63	5	9	145	112	5	12	31	10	8	12	142	33	11	6	5	10	25	15	21	5	14	5	11	8	3	0	8
OTU_173	81	9	15	32	12	19	49	12	5	11	65	1	20	11	29	51	52	9	76	14	12	7	152	5	92	52	7	39	14	17	2	8	33	17	25	12	9	153	12	4	16	17	16	103	9	78	56	6	15	9	30	1	22	7	7	36	15	10	7	6	5	21
OTU_9	870	633	715	763	822	485	537	535	466	992	930	918	994	1122	769	434	728	818	870	925	1035	650	2063	1463	571	427	1082	1038	652	1540	1763	918	1049	698	765	816	913	1089	794	933	1330	2312	681	824	607	1205	1009	665	793	599	494	915	580	940	796	963	638	1032	666	563	519	1494
OTU_166	29	4	21	25	188	16	7	84	36	73	35	57	15	22	128	7	11	4	19	18	10	16	52	11	11	15	11	27	32	15	27	52	19	10	54	7	53	29	37	11	44	48	34	32	27	16	14	5	6	12	13	6	15	15	10	11	11	10	2	16	11	20
OTU_264	19	16	16	44	16	6	19	12	9	23	13	22	42	50	7	4	42	13	16	50	22	21	25	83	21	13	28	40	18	28	53	52	41	50	10	25	37	99	47	25	26	102	91	29	15	18	28	23	52	22	28	7	39	31	11	28	17	36	22	23	18	40
OTU_1894	3	2	3	2	1	2	6	0	1	2	3	5	2	5	0	0	1	0	1	1	0	0	0	0	2	3	3	1	1	0	4	4	1	1	0	0	1	1	1	0	3	7	2	0	0	0	5	2	7	1	2	1	1	2	2	2	4	3	1	2	7	1
OTU_1593	0	0	0	0	0	1	2	0	2	1	4	1	1	0	6	10	3	4	0	16	15	41	8	74	7	6	14	20	0	124	1	0	1	0	1	0	2	2	0	0	2	2	0	4	1	1	4	1	13	29	18	3	5	4	2	3	3	4	3	3	8	2
OTU_650	15	45	8	28	2	22	10	9	9	13	8	12	15	26	5	8	3	2	10	11	17	13	6	10	7	7	21	11	25	62	0	2	1	2	0	3	2	5	0	3	0	3	3	2	0	1	4	4	1	3	3	2	4	10	3	6	12	3	1	4	4	5
OTU_2	318	182	238	198	1191	75	171	732	207	206	349	571	577	533	230	67	817	14	99	58	90	29	245	111	172	316	160	138	396	605	41	131	118	80	285	27	118	55	106	38	149	92	68	53	79	30	20	7	31	16	15	27	20	32	40	19	56	21	6	19	10	25
OTU_5	859	529	782	742	973	557	114	492	442	872	647	782	2558	614	2078	344	358	492	665	653	1051	238	734	353	560	364	504	375	2723	614	1669	1885	1220	2419	1081	716	1321	1443	976	807	1249	1601	1554	1227	1453	602	1402	252	549	414	359	1072	1021	933	856	247	589	643	591	1261	267	883
OTU_326	5	20	13	10	2	5	5	4	7	6	10	0	5	10	22	2	5	3	18	5	9	3	22	11	2	5	6	10	11	4	15	3	8	23	3	10	6	3	10	3	6	10	11	3	7	41	9	27	35	5	10	7	19	22	8	23	37	32	6	22	53	10
