Family	A50HnCp7r4	A50HnCp7r6	A50HnCp7r14	A50HnCp7r11	A50HnCp7r10	A50HnCp7r7	A50HnCp7r2	A50HnCp7r13	A50HnCp7r8	A50HnCp7r15	A50HnCp7r5	A50HnCp7r9	A50HnCp7r1	A50HnCp7r12	A50HnCp7r3	IR24HnCp7r14	IR24HnCp7r13	IR24HnCp7r1	IR24HnCp7r12	IR24HnCp7r11	IR24HnCp7r10	IR24HnCp7r4	IR24HnCp7r8	IR24HnCp7r6	IR24HnCp7r9	IR24HnCp7r5	IR24HnCp7r3	IR24HnCp7r15	IR24HnCp7r2	IR24HnCp7r7	A50HnSz7r6	A50HnSz7r9	A50HnSz7r14	A50HnSz7r1	A50HnSz7r7	A50HnSz7r8	A50HnSz7r5	A50HnSz7r12	A50HnSz7r10	A50HnSz7r13	A50HnSz7r4	A50HnSz7r11	A50HnSz7r15	A50HnSz7r3	A50HnSz7r2	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r17	IR24HnSz7r13	IR24HnSz7r7	IR24HnSz7r14	IR24HnSz7r1	IR24HnSz7r6	IR24HnSz7r2	IR24HnSz7r5	IR24HnSz7r16	IR24HnSz7r8	IR24HnSz7r4	IR24HnSz7r15	IR24HnSz7r3	IR24HnSz7r10	IR24HnSz7r9	All
Unassigned	41	40.2	42.4	40.6	42.8	41.8	37.9	43.1	47.8	44.7	38.7	39.2	37	39.4	40.3	43.4	42.8	49.2	39.7	41.5	43.9	41.8	41.7	47.9	40.3	36.1	40.9	43.3	38.1	42.9	34.1	30.4	31.1	29.5	31.3	35	29.3	32.3	32.3	39.2	29.6	36.2	36.1	34.6	30.6	35.3	33.2	44.5	38.3	38.3	38	34.2	40.8	37.8	39	44.8	36.2	36.9	34.4	39.1	37.8	35.3	45.9
Paenibacillaceae_1	0.19	0.277	0.0891	0.0652	0.103	0.107	0.583	0.28	0.487	0.223	0.346	0.521	0.407	0.759	0.194	0.189	0.056	0.476	0.0479	0.0492	0.0287	0.0466	0.0685	0.0227	0.132	0.065	0.0894	0.0524	0.0515	0.0595	0.133	0.212	0.152	0.134	0.105	0.211	0.39	0.119	0.199	0.119	0.365	0.306	0.0865	0.238	0.102	0.02	0.0854	0	0.0181	0.0197	0.111	0.124	0.0294	0.0471	0.0288	0.0172	0.00819	0.048	0.0797	0.0445	0.0672	0.0309	2.2
Ruminococcaceae	0.0634	0.0526	0.102	0.076	0.128	0.0505	0.0521	0.0782	0.141	0.156	0.0897	0.0654	0.0566	0.102	0.0314	0.0932	0.0632	0.0964	0.0819	0.0369	0.0439	0.0719	0.154	0.102	0.039	0.0488	0.0979	0.0737	0.0806	0.0534	0.0356	0.104	0.0299	0.0909	0.0479	0.0537	0.0591	0.0636	0.0951	0.0818	0.043	0.0543	0.0541	0.0983	0.064	0.031	0.0834	0.104	0.0946	0.0222	0.104	0.0238	0.035	0.0495	0.0144	0.0133	0.0492	0.0861	0.0429	0.00741	0.623	0.0291	2.0
Rhodocyclaceae	3.99	4.44	4.74	6.12	4.52	6.47	3.57	3.11	3.96	3.78	4.43	5.2	4.47	3.85	3.21	3.84	4.3	4.97	5.72	5.85	4.66	6.01	5.78	4.49	6.09	4.3	5.26	5.56	5.76	5.23	3.8	5.14	3.92	5.81	3.78	4.94	4.17	5.05	4.99	4.11	3.74	3.96	5.17	3.56	5.06	7.38	5.86	5.11	5.73	4.61	3.86	2.85	4.61	5.43	5.63	5.25	5.33	3.75	6.11	9.37	4.34	5.42	1.8
Clostridiaceae_1	0.129	0.0526	0.0954	0.234	0.13	0.128	0.0807	0.0782	0.138	0.0707	0.119	0.152	0.378	0.0879	0.129	0.544	0.047	0.382	0.194	0.204	0.597	0.163	0.103	0.0389	0.222	0.0894	0.0873	0.0911	0.173	0.058	1.71	1.07	1.15	1.6	1.24	1.24	1.62	0.994	2.07	1.41	1.37	0.518	1.65	1.58	1.48	2.61	5.6	0.94	1.71	1.68	1.59	5.79	4.42	2.44	3.04	0.513	1.57	0.412	3.14	4.24	2.82	1.46	1.8
Sphingomonadaceae	0.339	0.792	0.417	0.375	0.314	0.214	0.976	0.321	0.343	0.317	0.509	0.346	0.443	0.314	0.437	0.282	0.468	0.495	0.895	0.504	0.424	0.825	0.491	0.742	0.611	0.74	0.458	1.12	0.429	1.13	0.211	0.441	0.336	0.543	0.71	0.647	0.511	0.811	0.426	0.223	0.395	0.425	0.262	0.482	0.358	0.437	0.97	0.205	1.11	0.55	0.7	0.503	0.666	0.339	0.242	0.419	0.67	0.342	0.386	0.252	0.362	0.519	1.8
Lachnospiraceae	0.0277	0.0407	0.0311	0.0344	0.0121	0.0148	0.0156	0.0135	0.0352	0.0199	0.0167	0.035	0.031	0.0894	0.0185	0.0262	0.0163	0.0308	0.0459	0.0215	0.0439	0.0402	0.0234	0.0162	0.0509	0.0163	0.0234	0.0252	0.0343	0.0336	0.12	0.126	0.0829	0.0977	0.317	0.0939	0.137	0.117	0.266	0.138	0.119	0.0832	0.113	0.114	0.143	0.235	0.468	0.0612	0.145	0.17	0.169	0.515	0.254	0.221	0.178	0.0496	0.158	0.102	0.227	0.324	0.297	0.147	1.5
Rhodospirillaceae	0.0812	0.146	0.0497	0.0815	0.0972	0.214	0.0703	0.108	0.147	0.0525	0.202	0.213	0.161	0.115	0.213	0.396	0.181	0.0964	0.252	0.292	0.433	0.372	0.112	0.199	0.107	0.276	0.172	0.105	0.141	0.143	0.185	0.232	0.184	0.127	0.132	0.181	0.175	0.205	0.251	0.13	0.197	0.224	0.216	0.139	0.131	0.206	0.202	0.0918	0.167	0.101	0.248	0.11	0.0847	0.207	0.0777	0.0801	0.104	0.118	0.153	0.0766	0.174	0.127	1.5
Planctomycetaceae	0.00396	0.0598	0.0269	0.0688	0.0344	0.00594	0.0885	0.0108	0.00587	0.0236	0.025	0.00934	0.0164	0.00606	0.0185	0.0262	0.0289	0.00385	0.0519	0.0323	0.0304	0.0783	0.0639	0.0405	0.0322	0.0325	0.0405	0.0116	0.0189	0.0244	0.00667	0.0197	0.0461	0.00909	0.00898	0.0134	0.0148	0.0576	0.0216	0.0223	0.0127	0.0255	0.0346	0.00686	0.0204	0.0237	0.0407	0.00612	0.0161	0.00247	0.0575	0.00953	0.0515	0.00942	0.0115	0.021	0.0901	0.018	0.00613	0.00247	0.0255	0.0182	1.4
Syntrophobacteraceae	0.0218	0.00718	0.00622	0.0145	0.00202	0.0178	0.0234	0.00539	0.0557	0.0145	0.0125	0.0467	0.0109	0.0227	0.00925	0.0408	0.00723	0.0251	0.014	0.00769	0.0186	0.00635	0.00312	0.00162	0.0017	0	0.00426	0.00776	0.00515	0.00153	0.0133	0.0296	0.0207	0.00454	0	0.0101	0.0106	0.0119	0.0108	0.00744	0.0177	0.0102	0.0108	0.016	0.0146	0.00911	0.031	0.0122	0.00403	0.00987	0.0144	0.00953	0.0166	0.0141	0.0115	0.00572	0.0328	0.016	0.0092	0.00494	0.0464	0.0127	1.4
Flavobacteriaceae	0.21	0.541	0.763	2.13	0.49	0.107	0.932	0.631	0.173	0.203	0.215	2.47	0.458	0.393	3.73	2.35	0.566	0.761	0.433	0.278	0.167	0.54	0.601	0.656	0.324	1.35	0.913	0.366	0.499	0.271	0.8	1.3	3.4	3.94	0.518	0.755	3.75	0.66	1.08	1.28	0.311	2.98	6.01	2.1	3.6	1.57	1.54	0.404	0.534	1.12	1.42	2.8	1.07	0.386	0.314	0.488	0.412	0.669	1.02	0.719	1.26	3.2	1.3
Comamonadaceae	9.91	9.45	7.87	9.58	11.1	11.9	10.3	9.86	6.02	9.18	10.3	7.41	8.26	7.2	10.3	7.59	12.6	3.02	10.2	10.7	8.25	9.11	11.1	8.34	16.1	12.8	13.3	12.1	11.8	12.6	5.32	6.88	6.15	7.84	6.25	6.38	7.69	10.1	5.89	7.57	8.23	8.48	8.74	7.9	7.34	7.58	6.46	4.81	5.77	4.88	8.3	3.82	5.36	5.78	3.91	5.81	9.36	6.79	4.28	5.24	5.52	6.05	1.1
Oxalobacteraceae	0.408	0.258	0.325	0.165	0.231	0.181	0.318	0.2	0.152	0.397	0.296	0.392	0.259	0.368	0.2	0.524	0.712	0.202	1.93	0.652	0.379	0.315	0.531	0.202	0.446	0.563	0.886	0.63	0.71	0.662	0.222	1.17	0.465	0.323	0.826	0.416	1.62	0.459	0.361	0.416	0.149	0.727	0.461	0.505	0.352	0.508	0.411	0.205	0.197	0.387	0.999	0.131	0.473	0.448	0.124	0.187	0.344	0.0981	0.297	0.212	0.202	0.328	1.1
Ignavibacteriaceae	0.659	0.206	0.193	0.268	0.342	0.46	0.364	0.154	0.695	0.556	0.549	0.675	0.394	0.508	0.166	0.3	0.231	0.57	0.166	0.155	0.196	0.138	0.143	0.125	0.109	0.0731	0.134	0.0969	0.12	0.159	0.296	0.365	0.385	0.191	0.153	0.255	0.416	0.35	0.458	0.346	0.347	0.472	0.273	0.297	0.376	0.169	0.388	0.282	0.236	0.232	0.517	0.131	0.276	0.21	0.181	0.183	0.295	0.372	0.245	0.133	0.429	0.242	1.0
Hyphomicrobiaceae	0.667	0.907	0.543	0.626	0.52	0.617	1.28	0.318	0.71	0.446	0.816	0.481	0.837	0.679	0.357	0.608	0.435	0.842	0.491	0.443	0.532	0.743	0.425	0.372	0.477	0.796	0.445	0.543	0.415	0.522	0.618	0.794	0.675	1.01	0.964	0.714	1.31	1.15	0.895	0.446	0.815	0.718	0.517	0.763	0.972	1.07	0.832	0.517	0.701	0.711	0.866	0.667	0.762	0.678	0.452	0.73	0.834	0.665	0.604	0.405	0.688	0.843	0.9
Geobacteraceae	0.4	0.971	0.553	0.581	0.227	0.579	0.966	0.396	0.982	0.547	1.32	0.474	0.961	0.793	0.429	0.44	0.37	0.765	0.737	0.391	0.348	0.326	0.466	0.372	0.241	0.244	0.581	0.353	0.41	0.249	0.382	0.286	0.316	0.229	0.105	0.372	0.31	0.336	0.419	0.502	0.641	0.452	0.171	0.334	0.378	0.346	0.227	0.383	0.262	0.151	0.241	0.269	0.202	0.231	0.19	0.21	0.324	0.236	0.297	0.267	0.172	0.231	0.9
Xanthomonadaceae	0.418	0.624	0.413	0.36	0.381	0.347	0.747	0.386	0.405	0.487	0.453	0.205	0.511	0.706	0.344	0.212	0.445	0.104	0.567	0.555	0.21	0.51	0.305	0.261	0.478	0.91	0.37	0.531	0.439	0.323	0.211	0.397	0.491	0.395	0.521	0.413	0.498	0.755	0.35	0.238	0.261	0.397	0.281	0.443	0.69	0.421	0.349	0.205	0.348	0.227	0.532	0.272	0.28	0.184	0.173	0.362	0.549	0.308	0.279	0.193	0.528	0.208	0.9
