Phylum	A50HnCp7r4	A50HnCp7r6	A50HnCp7r14	A50HnCp7r11	A50HnCp7r10	A50HnCp7r7	A50HnCp7r2	A50HnCp7r13	A50HnCp7r8	A50HnCp7r15	A50HnCp7r5	A50HnCp7r9	A50HnCp7r1	A50HnCp7r12	A50HnCp7r3	IR24HnCp7r14	IR24HnCp7r13	IR24HnCp7r1	IR24HnCp7r12	IR24HnCp7r11	IR24HnCp7r10	IR24HnCp7r4	IR24HnCp7r8	IR24HnCp7r6	IR24HnCp7r9	IR24HnCp7r5	IR24HnCp7r3	IR24HnCp7r15	IR24HnCp7r2	IR24HnCp7r7	A50HnSz7r6	A50HnSz7r9	A50HnSz7r14	A50HnSz7r1	A50HnSz7r7	A50HnSz7r8	A50HnSz7r5	A50HnSz7r12	A50HnSz7r10	A50HnSz7r13	A50HnSz7r4	A50HnSz7r11	A50HnSz7r15	A50HnSz7r3	A50HnSz7r2	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r17	IR24HnSz7r13	IR24HnSz7r7	IR24HnSz7r14	IR24HnSz7r1	IR24HnSz7r6	IR24HnSz7r2	IR24HnSz7r5	IR24HnSz7r16	IR24HnSz7r8	IR24HnSz7r4	IR24HnSz7r15	IR24HnSz7r3	IR24HnSz7r10	IR24HnSz7r9	All
Firmicutes	3.57	2.8	3.11	2.84	6.59	1.55	2.63	6.63	3.21	3.35	3.93	4.59	4.72	4.7	3.27	2.91	5.37	1.58	2.13	1.5	2.47	1.28	3.04	1.84	3.23	3.36	2.09	1.94	3.6	3.13	3.75	4.5	3.07	3.66	4.61	2.92	4.48	2.89	5.12	3.23	4.68	2.21	3.25	3.59	3.76	4.96	8.53	2.31	3.74	3.11	3.47	9.06	7	4.53	4.64	1.28	3.45	1.72	5.4	6.42	5.84	3.01	14.0
Actinobacteria	6.58	11.7	6.42	5.26	6.56	7.01	11	6.2	10.3	6.58	8.64	5.63	8.38	5.17	5.71	7.78	8.21	13.7	6.3	8.03	7.32	12.8	5.99	13.4	8.24	8.62	5.32	9.35	5.33	6.84	12.8	7.15	14	7.63	7.48	10.2	9.72	10.1	8.52	7.78	9.16	6.77	10.9	13.9	12.3	10.4	7.75	10.7	17.5	16.4	12.5	12	13.5	12	12.9	10.5	12.6	18.6	11.9	8.87	15.6	8.61	10.6
Unassigned	1.95	2.22	2.15	2.53	2.06	1.91	2.5	1.94	3.6	1.89	2.35	2.55	2.81	2.88	1.33	2.31	2.12	2	1.74	1.7	1.5	1.56	2	1.59	1.57	1.8	1.68	1.88	1.38	1.95	2.05	2.32	1.52	1.48	1.73	1.7	1.77	2.58	1.79	2.93	1.47	2.81	2.39	1.47	1.4	1.04	1.43	1.31	1.47	1.26	1.58	1.07	1.07	1.28	1.25	1.31	1.25	1.48	1.56	1.3	1.44	1.26	10.2
Bacteroidetes	3.54	5.65	4.28	5.9	3.33	4.23	4.55	3.88	4.62	3.16	4.34	6.02	3.67	4.09	5.98	5.66	3.93	5.08	3.47	3.05	3.08	4.31	3.18	2.37	2.13	3.65	4.14	3.23	3.85	2.79	3.27	3.64	6.4	5.43	1.82	2.93	6.18	2.79	3.89	4.7	2.4	6.87	7.66	3.92	6.12	3.62	2.94	2.93	2.23	2.43	3.72	4	3.19	1.9	1.6	2.11	2.39	2.75	2.62	2.26	4.02	5.31	6.7
Acidobacteria	0.428	0.469	0.346	0.416	0.237	0.407	0.476	0.305	0.522	0.333	0.511	0.6	0.405	0.628	0.24	0.434	0.323	0.401	0.328	0.367	0.242	0.307	0.248	0.309	0.302	0.263	0.309	0.264	0.28	0.185	0.285	0.453	0.253	0.202	0.108	0.208	0.331	0.256	0.4	0.212	0.324	0.324	0.264	0.194	0.204	0.259	0.411	0.257	0.189	0.207	0.55	0.143	0.259	0.172	0.219	0.13	0.506	0.342	0.285	0.156	0.382	0.178	4.3
Verrucomicrobia	0.148	0.211	0.155	0.246	0.182	0.142	0.19	0.0728	0.152	0.165	0.194	0.18	0.217	0.2	0.0795	0.163	0.094	0.204	0.0999	0.0999	0.0929	0.178	0.157	0.139	0.0729	0.0894	0.115	0.0407	0.072	0.0808	0.0534	0.0937	0.134	0.0886	0.0269	0.0738	0.095	0.183	0.13	0.112	0.0987	0.243	0.123	0.0868	0.134	0.0619	0.146	0.0582	0.0604	0.0444	0.147	0.0524	0.0902	0.066	0.069	0.0686	0.166	0.0761	0.0858	0.0914	0.0904	0.0583	3.0
Chloroflexi	0.261	0.206	0.452	0.407	0.259	0.229	0.281	0.208	0.226	0.268	0.165	0.25	0.31	0.434	0.137	0.207	0.287	0.119	0.298	0.271	0.255	0.343	0.238	0.397	0.249	0.45	0.341	0.452	0.293	0.239	0.2	0.306	0.23	0.27	0.237	0.188	0.207	0.809	0.208	0.197	0.172	0.307	0.435	0.224	0.204	0.262	0.276	0.242	0.266	0.165	0.327	0.129	0.204	0.179	0.132	0.238	0.375	0.27	0.273	0.198	0.324	0.195	2.7
Planctomycetes	0.00594	0.0622	0.0269	0.0706	0.0364	0.00891	0.102	0.0108	0.0147	0.0254	0.0292	0.00934	0.0219	0.0682	0.0185	0.0349	0.0289	0.00385	0.0559	0.0354	0.0321	0.091	0.067	0.0421	0.0339	0.0352	0.0405	0.0136	0.0189	0.0244	0.00667	0.0246	0.0484	0.0136	0.012	0.0302	0.0211	0.0676	0.0281	0.0223	0.0253	0.0289	0.0454	0.0137	0.0291	0.0346	0.0485	0.00918	0.0181	0.00494	0.0611	0.0119	0.0589	0.00942	0.0173	0.0267	0.104	0.022	0.0123	0.00494	0.0255	0.0237	1.6
Ignavibacteriae	0.659	0.206	0.193	0.268	0.342	0.46	0.364	0.154	0.695	0.556	0.549	0.675	0.394	0.508	0.166	0.3	0.231	0.57	0.166	0.155	0.196	0.138	0.143	0.125	0.109	0.0731	0.134	0.0969	0.12	0.159	0.296	0.365	0.385	0.191	0.153	0.255	0.416	0.35	0.458	0.346	0.347	0.472	0.273	0.297	0.376	0.169	0.388	0.282	0.236	0.232	0.517	0.131	0.276	0.21	0.181	0.183	0.295	0.372	0.245	0.133	0.429	0.242	1.0
Spirochaetes	1.03	0.83	0.879	1.02	0.648	1.01	0.778	0.823	1.28	0.879	1.15	1.02	1.07	0.947	0.751	0.771	0.703	0.89	0.887	0.819	0.725	0.851	0.701	0.4	0.648	0.42	0.585	0.909	0.669	0.567	0.385	0.466	0.643	0.329	0.159	0.392	0.553	0.533	0.478	0.692	0.337	0.443	0.333	0.299	0.559	0.823	0.737	1.45	0.558	0.442	0.715	0.405	0.74	0.718	0.523	1.12	1.2	0.739	0.769	0.749	1.26	0.495	0.8
