x	y	z	a	group
A50HnCp7r1	-0.105441776972403	-0.140085788645102	0.0473905311445962	-0.0622009839841147	A50_Cp
A50HnCp7r2	-0.125398556264678	-0.0493166821959969	0.029675611170603	-0.158955879223234	A50_Cp
A50HnCp7r3	-0.167977569655499	-0.071114114498516	0.0111837479730899	0.0603777495716466	A50_Cp
A50HnCp7r4	-0.159842674857212	-0.105810467385334	0.038296459668295	-0.0205784786575983	A50_Cp
A50HnCp7r5	-0.149743045924747	-0.10456194949637	0.0421382037347991	-0.11517975740242	A50_Cp
A50HnCp7r6	-0.145433836170831	-0.0590619989380498	0.0351912956167217	-0.086956365359733	A50_Cp
A50HnCp7r7	-0.158897074215436	-0.0312070066101962	0.0739893394975443	-0.0243135302734966	A50_Cp
A50HnCp7r8	-0.176690939223436	-0.0391249483608243	0.169053995645292	-0.00178292062680757	A50_Cp
A50HnCp7r9	-0.128857833783588	-0.165169058151611	0.0807457974501773	0.0181376335036852	A50_Cp
A50HnCp7r10	-0.168538611716841	-0.0651220783888084	0.0291944620986338	0.0627334360516961	A50_Cp
A50HnCp7r11	-0.17370734131368	-0.0782591087295497	0.0513933356814489	-0.0663643733884778	A50_Cp
A50HnCp7r12	-0.164722696155818	-0.13640202229854	0.113889157086087	-0.104426981657041	A50_Cp
A50HnCp7r13	-0.172719652486983	-0.0613888851760392	0.0144141432342426	0.062501915961718	A50_Cp
A50HnCp7r14	-0.163889329982333	-0.051885973341623	0.055633763908264	0.017117241424424	A50_Cp
A50HnCp7r15	-0.175081058897615	-0.0308272704555829	0.0391725211801691	0.0432637345752142	A50_Cp
IR24HnCp7r1	-0.153117491175118	-0.000569865706013499	0.223033336534156	0.0634053521919001	IR24_Cp
IR24HnCp7r2	-0.160447353523205	0.0223536444495212	-0.126695408451484	-0.00295562277584243	IR24_Cp
IR24HnCp7r3	-0.158798442925553	0.0600566948451594	-0.0984731060377704	0.0214663418022752	IR24_Cp
IR24HnCp7r4	-0.122815632614445	0.127491013401284	-0.057587968717283	-0.0194884824405165	IR24_Cp
IR24HnCp7r5	-0.120474673811437	0.0668360915095059	-0.178173918438924	-0.0539643568031867	IR24_Cp
IR24HnCp7r6	-0.11873882154896	0.120390600718112	-0.0403566258951421	0.0800673144247144	IR24_Cp
IR24HnCp7r7	-0.151199033302198	0.0749883510915951	-0.07180541876784	0.0590816103316691	IR24_Cp
IR24HnCp7r8	-0.16791349139948	0.0505314886777032	-0.0844445690346794	0.0275246527752385	IR24_Cp
IR24HnCp7r9	-0.115576506158537	0.132704543922285	-0.125614826597023	0.0307699321600593	IR24_Cp
IR24HnCp7r10	-0.0908422719605075	0.0559503739715152	-0.0331741269203055	0.116098063959496	IR24_Cp
