A50HnCp7r4	A50HnCp7r6	A50HnCp7r14	A50HnCp7r11	A50HnCp7r10	A50HnCp7r7	A50HnCp7r2	A50HnCp7r13	A50HnCp7r8	A50HnCp7r15	A50HnCp7r5	A50HnCp7r9	A50HnCp7r1	A50HnCp7r12	A50HnCp7r3	IR24HnCp7r14	IR24HnCp7r13	IR24HnCp7r1	IR24HnCp7r12	IR24HnCp7r11	IR24HnCp7r10	IR24HnCp7r4	IR24HnCp7r8	IR24HnCp7r6	IR24HnCp7r9	IR24HnCp7r5	IR24HnCp7r3	IR24HnCp7r15	IR24HnCp7r2	IR24HnCp7r7	A50HnSz7r6	A50HnSz7r9	A50HnSz7r14	A50HnSz7r1	A50HnSz7r7	A50HnSz7r8	A50HnSz7r5	A50HnSz7r12	A50HnSz7r10	A50HnSz7r13	A50HnSz7r4	A50HnSz7r11	A50HnSz7r15	A50HnSz7r3	A50HnSz7r2	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r17	IR24HnSz7r13	IR24HnSz7r7	IR24HnSz7r14	IR24HnSz7r1	IR24HnSz7r6	IR24HnSz7r2	IR24HnSz7r5	IR24HnSz7r16	IR24HnSz7r8	IR24HnSz7r4	IR24HnSz7r15	IR24HnSz7r3	IR24HnSz7r10	IR24HnSz7r9
Betaproteobacteria	19.4	17.9	18.1	21.1	20.7	24	19.3	17.8	14.3	19	20.1	17.4	17.6	16.4	17.9	20.3	25	13.2	26	25.6	21.6	24.2	24.6	21.8	30.8	25.8	26.8	25.5	25.6	26.6	17.4	24.9	19.2	24.6	16.4	20.7	24.1	25.2	19.8	21.7	20.6	22.3	23	20.7	20	28.5	26.6	27.5	21.9	24.4	25.4	15.6	24	23.2	21.7	29.6	33.1	27.1	21.8	28.4	27.7	20.6
Gammaproteobacteria	11.6	8.49	12.9	12	10.3	8.81	6.41	12.9	6.94	9.76	8.21	14	13.3	13.4	12	8.27	6.04	5.42	7.84	7.1	13.1	6.02	7.92	4.91	8.76	10.5	10.2	5.67	12.8	5.48	19.4	21.2	14.9	18.4	28.5	17.7	14.5	13.4	20.6	14.1	20.6	14.7	14.9	15.2	17.8	7.16	12.2	5.41	10.8	10.4	9.09	15.5	9	13.5	13.3	4.13	8.1	7.67	15.8	11.5	5.51	18.2
Deltaproteobacteria	19	15.1	16.3	15.3	14.1	16.1	13.1	14	17.8	17.3	17.3	16	14.6	18.3	13.9	10.5	8.45	17.3	14	12.1	10.5	8.27	13.8	9.46	5.26	6.56	11.5	9.32	9.42	10.1	12.7	9.39	10.3	7.34	7.46	10.7	9.16	10.1	10.8	14.4	12.4	14.7	6.44	8.31	8.23	8.23	8.04	13.9	6.75	6.06	7.66	8.29	5.27	10.4	8.69	9.74	6.81	7.81	9.58	7.17	6.65	11.3
Actinobacteria	6.58	11.7	6.42	5.26	6.56	7.01	11	6.2	10.3	6.58	8.64	5.63	8.38	5.17	5.71	7.78	8.21	13.7	6.3	8.03	7.32	12.8	5.99	13.4	8.24	8.62	5.32	9.35	5.33	6.84	12.8	7.15	14	7.63	7.48	10.2	9.72	10.1	8.52	7.78	9.16	6.77	10.9	13.9	12.3	10.4	7.75	10.7	17.5	16.4	12.5	12	13.5	12	12.9	10.5	12.6	18.6	11.9	8.87	15.6	8.61
Alphaproteobacteria	4.52	7.57	5.22	5.17	4.75	5.14	14.5	3.72	5.51	5.24	7.99	5.29	8.46	7.63	8.41	8.78	6.95	6.64	8.34	8.67	5.5	9.46	7.42	4.56	6.22	10.8	6.49	8.72	7.5	9.12	4.17	5.45	8.59	9.98	7.5	7.88	10.4	9.22	6.91	3.66	9.02	5.38	4.78	7.82	8.28	9.06	7.22	2.52	6.91	6.66	7.65	7.25	4.99	3.98	4.45	6.26	6.31	5.8	5.27	2.93	6.1	5.14
Bacteroidetes	3.54	5.65	4.28	5.9	3.33	4.23	4.55	3.88	4.62	3.16	4.34	6.02	3.67	4.09	5.98	5.66	3.93	5.08	3.47	3.05	3.08	4.31	3.18	2.37	2.13	3.65	4.14	3.23	3.85	2.79	3.27	3.64	6.4	5.43	1.82	2.93	6.18	2.79	3.89	4.7	2.4	6.87	7.66	3.92	6.12	3.62	2.94	2.93	2.23	2.43	3.72	4	3.19	1.9	1.6	2.11	2.39	2.75	2.62	2.26	4.02	5.31
Firmicutes	3.57	2.8	3.11	2.84	6.59	1.55	2.63	6.63	3.21	3.35	3.93	4.59	4.72	4.7	3.27	2.91	5.37	1.58	2.13	1.5	2.47	1.28	3.04	1.84	3.23	3.36	2.09	1.94	3.6	3.13	3.75	4.5	3.07	3.66	4.61	2.92	4.48	2.89	5.12	3.23	4.68	2.21	3.25	3.59	3.76	4.96	8.53	2.31	3.74	3.11	3.47	9.06	7	4.53	4.64	1.28	3.45	1.72	5.4	6.42	5.84	3.01
Spirochaetes	1.03	0.83	0.879	1.02	0.648	1.01	0.778	0.823	1.28	0.879	1.15	1.02	1.07	0.947	0.751	0.771	0.703	0.89	0.887	0.819	0.725	0.851	0.701	0.4	0.648	0.42	0.585	0.909	0.669	0.567	0.385	0.466	0.643	0.329	0.159	0.392	0.553	0.533	0.478	0.692	0.337	0.443	0.333	0.299	0.559	0.823	0.737	1.45	0.558	0.442	0.715	0.405	0.74	0.718	0.523	1.12	1.2	0.739	0.769	0.749	1.26	0.495
Acidobacteria	0.428	0.469	0.346	0.416	0.237	0.407	0.476	0.305	0.522	0.333	0.511	0.6	0.405	0.628	0.24	0.434	0.323	0.401	0.328	0.367	0.242	0.307	0.248	0.309	0.302	0.263	0.309	0.264	0.28	0.185	0.285	0.453	0.253	0.202	0.108	0.208	0.331	0.256	0.4	0.212	0.324	0.324	0.264	0.194	0.204	0.259	0.411	0.257	0.189	0.207	0.55	0.143	0.259	0.172	0.219	0.13	0.506	0.342	0.285	0.156	0.382	0.178
Others	3.38874	3.49332	3.57758	4.17332	3.14867	3.66776	4.65262	2.72039	5.30066	3.33738	3.91953	3.92121	4.50662	4.89469	2.21005	3.48679	3.11906	3.52336	3.29457	2.96036	2.51059	2.89872	3.09065	2.80448	2.47879	2.90824	2.75357	2.9754	2.31324	2.80416	2.92595	3.53346	2.74075	2.27446	2.25777	2.52167	2.8577	4.34127	3.01248	3.94954	2.43448	4.15108	3.6063	2.46368	2.42541	1.97576	2.83726	2.58718	2.5073	2.03472	3.12835	1.7352	2.29432	2.32421	1.99407	2.18508	2.71231	2.55821	2.77411	2.36723	2.7654	1.99188
