IR24	A50	MeanDecreaseAccuracy	MeanDecreaseGini
Gracilibacteraceae	-1.89	-1.66	-1.86	0.05
Acidimicrobiaceae	0	-1.73	-1.72	0.02
Thermomonosporaceae	-1	-1.72	-1.65	0.04
Cytophagaceae	-1	-1.53	-1.48	0.06
Haliangiaceae	-1.42	0	-1.42	0.01
Saprospiraceae	-1.36	0	-1.42	0.01
Desulfomicrobiaceae	-1.38	0	-1.42	0.02
Rhizobiales_incertae_sedis	0	-1.4	-1.41	0.03
Planococcaceae	-1	-1	-1.4	0.03
Erythrobacteraceae	-1	-1.37	-1.39	0.01
Spirochaetaceae	-1.41	-0.36	-1.38	0.08
Deinococcaceae	0.07	-1.69	-1.38	0.06
Flavobacteriaceae	-1.37	-1	-1.28	0.04
Thermoactinomycetaceae_2	-1	-1.28	-1.21	0.05
Sphingomonadaceae	-0.69	-1.25	-1.2	0.03
Caldilineaceae	-0.16	-1.67	-1.16	0.03
Veillonellaceae	-1.41	-0.88	-1.11	0.03
Nocardioidaceae	-1	0	-1	0.02
Methylobacteriaceae	-1	0	-1	0.02
Intrasporangiaceae	0	-1	-1	0.02
Streptomycetaceae	0	-1	-1	0.04
Syntrophaceae	-1	-1	-1	0.01
Peptostreptococcaceae	0	-1	-1	0.03
Burkholderiaceae	-1	-1	-1	0
Streptosporangiaceae	-1	0	-1	0.01
Cellulomonadaceae	-0.28	-1.39	-1	0.02
Aurantimonadaceae	-1	-1	-1	0.02
Hydrogenophilaceae	-1	0	-1	0.02
Sneathiellaceae	0.51	-1.19	-0.88	0.02
Oxalobacteraceae	0.53	-1	-0.84	0.05
Iamiaceae	-1.42	1.34	-0.76	0.02
Rhodobiaceae	-1.4	-0.32	-0.73	0.02
Promicromonosporaceae	-1	1	-0.55	0.01
Gaiellaceae	-1.41	0.43	-0.43	0.11
Desulfobacteraceae	-0.28	-1	-0.41	0.03
Opitutaceae	-0.32	0.21	-0.11	0.12
Leptotrichiaceae	0.42	-0.76	-0.1	0.08
Clostridiales_Incertae_Sedis_XIII	-0.08	-0.44	-0.01	0.07
Rhodocyclaceae	-0.17	-0.13	0	0.05
Planctomycetaceae	0	0	0	0.01
Syntrophobacteraceae	0	0	0	0
Ignavibacteriaceae	-1	1	0	0.05
Acetobacteraceae	0	0	0	0.02
Bdellovibrionaceae	0	0	0	0.01
Bacteriovoracaceae	1	-1	0	0.03
Bacillaceae_2	0	0	0	0
Conexibacteraceae	0	0	0	0.03
Rhodothermaceae	0	0	0	0
Myxococcaceae	1	-1	0	0.01
Bradyrhizobiaceae	0	0	0	0.01
Micrococcaceae	0	-0.11	0	0.02
Bacteroidaceae	-1	1	0	0.02
Anaerolineaceae	0	0	0	0
Peptococcaceae_1	0	0	0	0
Syntrophomonadaceae	0	0	0	0
Peptococcaceae_2	0	0	0	0
Clostridiaceae_4	0	0	0	0
Family_I	0	0	0	0
Ectothiorhodospiraceae	0	0	0	0
Sphaerobacteraceae	0	0	0	0
Chlamydiaceae	0	0	0	0
Sulfuricellaceae	0	0	0	0
Phycisphaeraceae	0	0	0	0
Family_V	0	0	0	0
Dehalococcoidaceae	0	0	0	0
Clostridiaceae_2	0	0	0	0
Haloplasmataceae	0	0	0	0
Family_IV	0	0	0	0
Chthonomonadaceae	0	0	0	0
Tepidisphaeraceae	0	0	0	0
Armatimonadaceae	0	0	0	0
Ardenticatenaceae	0	0	0	0
Prevotellaceae	0	0	0	0
Chloroflexaceae	0	0	0	0
Nakamurellaceae	0	0	0	0
Cyclobacteriaceae	0	0	0	0
Bogoriellaceae	0	0	0	0
Family_IX	0	0	0	0
Rickettsiaceae	0	0	0	0
Family_XII	0	0	0	0
Sporichthyaceae	0	0	0	0
Phaselicystidaceae	0	0	0	0
Corynebacteriaceae	0	0	0	0
Coxiellaceae	0	0	0	0
Vulgatibacteraceae	0	0	0	0
Streptococcaceae	0	0	0	0
Sanguibacteraceae	0	0	0	0
Staphylococcaceae	0	0	0	0
Euzebyaceae	0	0	0	0
Alteromonadaceae	0	0	0	0
Enterococcaceae	0	0	0	0
Brucellaceae	0	0	0	0
Dietziaceae	0	0	0	0
Beijerinckiaceae	0	0	0	0
Halanaerobiaceae	0	0	0	0
Legionellaceae	0	0	0	0
Nitrososphaeraceae	0	0	0	0
Helicobacteraceae	0	0	0	0
Procabacteriaceae	0	0	0	0
Fibrobacteraceae	0	0	0	0
Thermaceae	0	0	0	0
Anaplasmataceae	0	0	0	0
Trueperaceae	0	0	0	0
Bacillales_incertae_sedis	0	0	0	0
Thermoleophilaceae	0	0	0	0
Christensenellaceae	0	0	0	0
Jiangellaceae	0	0	0	0
Flammeovirgaceae	0	0	0	0
Family_XI	0	0	0	0
Patulibacteraceae	0	0	0	0
Nocardiopsaceae	0	0	0	0
Nitriliruptoraceae	0	0	0	0
Elusimicrobiaceae	0	0	0	0
Cryptosporangiaceae	0	0	0	0
Clostridiaceae_3	0	0	0	0
Sporolactobacillaceae	0	0	0	0
Family_VIII	0	0	0	0
Family_III	0	0	0	0
Erysipelotrichaceae	1	-0.8	0.06	0.02
Nitrosomonadaceae	0.37	0.07	0.1	0.03
Desulfuromonadaceae	-1	1	0.14	0.02
Sphingobacteriaceae	-1.42	1.37	0.17	0.03
Hyphomicrobiaceae	0	0.13	0.18	0.05
Mycobacteriaceae	0	0	0.2	0.01
Syntrophorhabdaceae	1	-0.34	0.28	0.01
Marinilabiliaceae	0.82	-0.14	0.32	0.12
Microbacteriaceae	0.85	-1	0.38	0.03
Gemmatimonadaceae	1.73	-0.39	0.39	0.07
Kineosporiaceae	-1	1.41	0.39	0.02
Cystobacteraceae	1.38	-0.66	0.41	0.07
Rhodobacteraceae	0.53	0	0.5	0.03
Paenibacillaceae_2	0.55	-0.2	0.52	0.03
Thermoactinomycetaceae_1	0.17	1	0.54	0.12
Coriobacteriaceae	0	1.12	0.72	0.08
Prolixibacteraceae	0.9	0.2	0.74	0.06
Shewanellaceae	0.66	1.71	0.87	0.05
Labilitrichaceae	1.74	0.09	0.89	0.04
Oscillochloridaceae	-1	1.41	0.9	0.06
Nitrospiraceae	1.13	0.72	0.99	0.12
Rhizobiaceae	0	1	1	0.02
Enterobacteriaceae	0	1	1	0.01
Caulobacteraceae	1	0	1	0.01
Polyangiaceae	0.07	1	1	0.02
Solirubrobacteraceae	0	1	1	0.01
Pseudonocardiaceae	1	1	1	0.01
Methylophilaceae	1	1	1	0.01
Xanthobacteraceae	-1	1.4	1	0.03
Propionibacteriaceae	0	1	1	0.02
Alcaligenaceae	0	1	1	0.01
Oligoflexaceae	1	0	1	0.02
Herpetosiphonaceae	0	1	1	0
Fusobacteriaceae	0	1	1	0.01
Sandaracinaceae	1.37	-0.37	1.03	0.15
Verrucomicrobiaceae	0.97	1	1.12	0.07
Nocardiaceae	1.41	0.84	1.16	0.1
Geobacteraceae	0.55	1.42	1.26	0.14
Acidimicrobineae_incertae_sedis	1.25	1.05	1.27	0.06
Phyllobacteriaceae	0	1.65	1.31	0.02
Geodermatophilaceae	1.42	0.22	1.33	0.06
Demequinaceae	1.37	0	1.36	0.02
Glycomycetaceae	1.42	1	1.37	0.01
Chitinophagaceae	0	1.42	1.4	0.02
Chloroplast	0	1.39	1.41	0.02
Holophagaceae	1	1	1.42	0.01
Heliobacteriaceae	1.37	1.38	1.42	0.01
Xanthomonadaceae	1.7	0	1.73	0.08
Rubrobacteraceae	0	1.71	1.73	0.06
Desulfobulbaceae	1.99	1.41	1.79	0.03
Micromonosporaceae	0.97	1.69	1.88	0.17
Sinobacteraceae	1.99	0.46	1.9	0.07
Cryomorphaceae	1.37	1.95	1.92	0.09
Comamonadaceae	1.84	1.06	2.01	0.11
Clostridiales_Incertae_Sedis_XVIII	1.96	1.67	2.06	0.11
Lachnospiraceae	1.65	2.44	2.25	0.23
Ruminococcaceae	1.57	2.29	2.26	0.08
Clostridiaceae_1	1.88	1.94	2.26	0.07
Methylocystaceae	2.05	2.1	2.28	0.05
Porphyromonadaceae	2.19	2.04	2.29	0.19
