IR24	A50	MeanDecreaseAccuracy	MeanDecreaseGini	Class
Kineosporiaceae	-1.68	-1.72	-1.95	0.07	Actinobacteria
Intrasporangiaceae	-1.42	-1.72	-1.91	0.06	Actinobacteria
Labilitrichaceae	-1.67	-1.13	-1.87	0.05	Deltaproteobacteria
Nitrospiraceae	-1.66	-1.29	-1.7	0.05	Nitrospira
Enterobacteriaceae	-1	-1.27	-1.69	0.04	Gammaproteobacteria
Haliangiaceae	-1.68	-0.98	-1.46	0.09	Deltaproteobacteria
Methylocystaceae	-1.51	-1.24	-1.44	0.09	Alphaproteobacteria
Hydrogenophilaceae	-1.42	0	-1.42	0.02	Betaproteobacteria
Rubrobacteraceae	-1.98	1.71	-1.4	0.05	Actinobacteria
Chitinophagaceae	-1.4	-1	-1.37	0.03	Sphingobacteriia
Xanthobacteraceae	-0.82	-1.21	-1.36	0.08	Alphaproteobacteria
Xanthomonadaceae	0.12	-1.67	-1.34	0.1	Gammaproteobacteria
Caulobacteraceae	-1.57	-0.67	-1.32	0.05	Alphaproteobacteria
Desulfovibrionaceae	-2	0.37	-1.32	0.04	Deltaproteobacteria
Paenibacillaceae_2	-1	-1.4	-1.3	0.02	Bacilli
Glycomycetaceae	-1.34	0.14	-1.07	0.02	Actinobacteria
Iamiaceae	-1	-0.2	-1.04	0.04	Actinobacteria
Rhodospirillaceae	-0.61	-1.42	-1	0.02	Alphaproteobacteria
Rhizobiaceae	0	-1	-1	0.02	Alphaproteobacteria
Methylobacteriaceae	-1	0	-1	0.02	Alphaproteobacteria
Polyangiaceae	0	-1	-1	0.01	Deltaproteobacteria
Clostridiales_Incertae_Sedis_XI	-1	-1	-1	0.02	Clostridia
Erythrobacteraceae	0	-1	-1	0.03	Alphaproteobacteria
Methylophilaceae	-1	0	-1	0.02	Betaproteobacteria
Clostridiales_Incertae_Sedis_XVIII	0	-1	-1	0.01	Clostridia
Alcaligenaceae	0	-1	-1	0.02	Betaproteobacteria
Thermoactinomycetaceae_2	0	-1	-1	0.03	Bacilli
