A50HnCp7r1	A50HnCp7r2	A50HnCp7r3	A50HnCp7r4	A50HnCp7r5	A50HnCp7r6	A50HnCp7r7	A50HnCp7r8	A50HnCp7r9	A50HnCp7r10	A50HnCp7r11	A50HnCp7r12	A50HnCp7r13	A50HnCp7r14	A50HnCp7r15	A50HnSz7r1	A50HnSz7r2	A50HnSz7r3	A50HnSz7r4	A50HnSz7r5	A50HnSz7r6	A50HnSz7r7	A50HnSz7r8	A50HnSz7r9	A50HnSz7r10	A50HnSz7r11	A50HnSz7r12	A50HnSz7r13	A50HnSz7r14	A50HnSz7r15
Paenibacillaceae_1	0.407	0.583	0.194	0.19	0.346	0.277	0.107	0.487	0.521	0.103	0.0652	0.759	0.28	0.0891	0.223	0.134	0.102	0.238	0.365	0.39	0.133	0.105	0.211	0.212	0.199	0.306	0.119	0.119	0.152	0.0865
Ruminococcaceae	0.0566	0.0521	0.0314	0.0634	0.0897	0.0526	0.0505	0.141	0.0654	0.128	0.076	0.102	0.0782	0.102	0.156	0.0909	0.064	0.0983	0.043	0.0591	0.0356	0.0479	0.0537	0.104	0.0951	0.0543	0.0636	0.0818	0.0299	0.0541
Rhodocyclaceae	4.47	3.57	3.21	3.99	4.43	4.44	6.47	3.96	5.2	4.52	6.12	3.85	3.11	4.74	3.78	5.81	5.06	3.56	3.74	4.17	3.8	3.78	4.94	5.14	4.99	3.96	5.05	4.11	3.92	5.17
Clostridiaceae_1	0.378	0.0807	0.129	0.129	0.119	0.0526	0.128	0.138	0.152	0.13	0.234	0.0879	0.0782	0.0954	0.0707	1.6	1.48	1.58	1.37	1.62	1.71	1.24	1.24	1.07	2.07	0.518	0.994	1.41	1.15	1.65
Sphingomonadaceae	0.443	0.976	0.437	0.339	0.509	0.792	0.214	0.343	0.346	0.314	0.375	0.314	0.321	0.417	0.317	0.543	0.358	0.482	0.395	0.511	0.211	0.71	0.647	0.441	0.426	0.425	0.811	0.223	0.336	0.262
Lachnospiraceae	0.031	0.0156	0.0185	0.0277	0.0167	0.0407	0.0148	0.0352	0.035	0.0121	0.0344	0.0894	0.0135	0.0311	0.0199	0.0977	0.143	0.114	0.119	0.137	0.12	0.317	0.0939	0.126	0.266	0.0832	0.117	0.138	0.0829	0.113
Rhodospirillaceae	0.161	0.0703	0.213	0.0812	0.202	0.146	0.214	0.147	0.213	0.0972	0.0815	0.115	0.108	0.0497	0.0525	0.127	0.131	0.139	0.197	0.175	0.185	0.132	0.181	0.232	0.251	0.224	0.205	0.13	0.184	0.216
Planctomycetaceae	0.0164	0.0885	0.0185	0.00396	0.025	0.0598	0.00594	0.00587	0.00934	0.0344	0.0688	0.00606	0.0108	0.0269	0.0236	0.00909	0.0204	0.00686	0.0127	0.0148	0.00667	0.00898	0.0134	0.0197	0.0216	0.0255	0.0576	0.0223	0.0461	0.0346
Syntrophobacteraceae	0.0109	0.0234	0.00925	0.0218	0.0125	0.00718	0.0178	0.0557	0.0467	0.00202	0.0145	0.0227	0.00539	0.00622	0.0145	0.00454	0.0146	0.016	0.0177	0.0106	0.0133	0	0.0101	0.0296	0.0108	0.0102	0.0119	0.00744	0.0207	0.0108
Flavobacteriaceae	0.458	0.932	3.73	0.21	0.215	0.541	0.107	0.173	2.47	0.49	2.13	0.393	0.631	0.763	0.203	3.94	3.6	2.1	0.311	3.75	0.8	0.518	0.755	1.3	1.08	2.98	0.66	1.28	3.4	6.01
Comamonadaceae	8.26	10.3	10.3	9.91	10.3	9.45	11.9	6.02	7.41	11.1	9.58	7.2	9.86	7.87	9.18	7.84	7.34	7.9	8.23	7.69	5.32	6.25	6.38	6.88	5.89	8.48	10.1	7.57	6.15	8.74
Oxalobacteraceae	0.259	0.318	0.2	0.408	0.296	0.258	0.181	0.152	0.392	0.231	0.165	0.368	0.2	0.325	0.397	0.323	0.352	0.505	0.149	1.62	0.222	0.826	0.416	1.17	0.361	0.727	0.459	0.416	0.465	0.461
Ignavibacteriaceae	0.394	0.364	0.166	0.659	0.549	0.206	0.46	0.695	0.675	0.342	0.268	0.508	0.154	0.193	0.556	0.191	0.376	0.297	0.347	0.416	0.296	0.153	0.255	0.365	0.458	0.472	0.35	0.346	0.385	0.273
Hyphomicrobiaceae	0.837	1.28	0.357	0.667	0.816	0.907	0.617	0.71	0.481	0.52	0.626	0.679	0.318	0.543	0.446	1.01	0.972	0.763	0.815	1.31	0.618	0.964	0.714	0.794	0.895	0.718	1.15	0.446	0.675	0.517
Geobacteraceae	0.961	0.966	0.429	0.4	1.32	0.971	0.579	0.982	0.474	0.227	0.581	0.793	0.396	0.553	0.547	0.229	0.378	0.334	0.641	0.31	0.382	0.105	0.372	0.286	0.419	0.452	0.336	0.502	0.316	0.171
Xanthomonadaceae	0.511	0.747	0.344	0.418	0.453	0.624	0.347	0.405	0.205	0.381	0.36	0.706	0.386	0.413	0.487	0.395	0.69	0.443	0.261	0.498	0.211	0.521	0.413	0.397	0.35	0.397	0.755	0.238	0.491	0.281
Bacillaceae_1	1.06	0.31	1.27	1.16	0.699	0.378	0.457	0.428	0.815	0.917	0.905	0.665	1.32	0.854	1.35	0.413	0.568	0.288	0.658	0.471	0.467	0.332	0.235	1.11	0.845	0.268	0.386	0.32	0.244	0.266
Caldilineaceae	0.0347	0.0495	0.0277	0.0614	0.0271	0.0239	0.0178	0.0469	0.0514	0.0304	0.0579	0.0622	0.0243	0.0435	0.0399	0.0363	0.0175	0.0526	0.0329	0.0253	0.0311	0.015	0.0335	0.0493	0.054	0.0696	0.0397	0.0483	0.0207	0.0281
Rhizobiaceae	1.87	3.25	2.45	1.3	2.07	2.02	1.84	1.1	1.78	1.19	1.55	2.09	1.04	1.25	1.34	3.25	1.31	1.75	0.944	1.31	0.565	2.66	1.18	1.14	1.63	1.23	3.95	0.807	1.82	1.17
Rhodobacteraceae	0.246	1.02	0.342	0.18	0.463	1.02	0.232	0.0968	0.14	0.621	0.492	0.114	0.415	0.516	0.391	0.152	0.25	0.19	0.0481	0.23	0.0645	0.251	0.107	0.0739	0.201	0.202	0.568	0.134	0.159	0.128
Nitrospiraceae	0.522	0.88	0.333	0.244	0.505	0.38	0.799	0.478	0.112	0.0911	0.42	0.547	0.154	0.354	0.188	0.104	0.0902	0.187	0.157	0.203	0.182	0.024	0.117	0.217	0.13	0.178	0.149	0.0967	0.138	0.0736
Methylococcaceae	0.434	1.4	0.117	0.267	0.486	0.222	0.288	0.323	0.327	0.152	0.121	0.412	0.181	0.444	0.159	1.59	1.85	3.38	8.57	3.13	1.36	0.635	5.42	0.882	2.38	1.81	0.904	0.796	2.04	2.56
Nocardioidaceae	0.524	0.599	0.377	0.548	0.632	0.679	0.33	0.651	0.346	0.399	0.501	0.432	0.661	0.315	0.469	0.291	0.713	0.537	0.309	0.325	0.258	0.416	0.426	0.476	0.668	0.35	0.66	0.379	0.401	0.534
Micromonosporaceae	1.8	2.57	1.28	1.53	2.13	4.19	1.6	2.03	0.803	1.47	1.03	1.18	1.39	1.75	1.76	0.756	2.5	1.95	0.749	0.912	1.14	1.2	1.34	0.715	1.19	0.766	2.28	1.42	1.51	1.71
Enterobacteriaceae	0.367	0.013	0.0851	0.499	0.111	0.62	0.137	0.475	0.255	0.237	1.76	0.179	1.63	0.278	0.183	1.75	0.341	0.265	0.749	0.561	3.74	2.02	1.34	1.27	0.735	0.484	1.64	1.08	0.753	0.868
Spirochaetaceae	0.839	0.526	0.364	0.657	0.887	0.672	0.68	0.859	0.789	0.528	0.648	0.752	0.583	0.694	0.609	0.193	0.376	0.185	0.238	0.361	0.289	0.114	0.288	0.345	0.335	0.343	0.31	0.558	0.502	0.167
Caulobacteraceae	0.292	0.411	0.22	0.105	0.334	0.182	0.154	0.185	0.201	0.184	0.226	0.311	0.191	0.151	0.252	0.479	0.277	0.37	0.38	0.445	0.147	0.272	0.506	0.173	0.233	0.241	0.481	0.19	0.35	0.281
Burkholderiales_incertae_sedis	1.11	1.46	1	1.01	1.31	1.23	1.51	0.718	0.516	1.01	1.57	0.752	0.979	1.64	2	3.44	2.88	3.71	3.22	4.66	3.06	1.4	3.94	3.96	2.55	2.92	3.47	3.91	3.04	2.65
Cystobacteraceae	9.85	8.51	9.13	12.5	11.1	9.15	10.6	11.2	10.9	9.13	10.1	12.2	9.21	11.6	11.5	5.57	6.21	6.58	9.84	7.21	10.6	6.55	8.51	7.63	7.64	11.9	8	11.3	8.09	4.97
Acetobacteraceae	0.00912	0.0286	0.0129	0.0099	0.00417	0.012	0	0	0.00467	0.0223	0.0181	0.0091	0.0108	0.0104	0.0145	0.00227	0.00873	0.00229	0.00253	0.00844	0.0111	0	0.00671	0.00493	0.00432	0.00679	0.0258	0	0.00921	0.013
Microbacteriaceae	0.206	0.195	0.257	0.346	0.307	0.194	0.107	0.522	0.213	0.19	0.188	0.255	0.324	0.203	0.279	0.168	0.253	0.256	0.203	0.177	0.131	0.704	0.225	0.291	0.722	0.29	0.69	0.216	0.184	0.169
Parachlamydiaceae	0.0073	0.00521	0.00185	0.0139	0.00626	0	0.0119	0.00587	0.00234	0.00607	0.00724	0.00303	0.0027	0.00207	0.00181	0	0	0	0	0.00211	0.00222	0	0.00671	0	0.00648	0.0017	0	0	0.00691	0.00216
Porphyromonadaceae	0.498	0.497	0.203	0.509	0.724	0.873	0.897	0.977	0.745	0.595	0.501	0.593	0.318	0.357	0.283	0.179	0.317	0.167	0.39	0.325	0.434	0.162	0.362	0.394	0.454	0.606	0.354	0.472	0.495	0.257
Bdellovibrionaceae	0	0.026	0.0129	0.00198	0.00835	0.00718	0.00891	0	0.021	0.0101	0.00543	0	0.0027	0.0207	0.0163	0.00909	0.00873	0.00686	0.038	0.00633	0.00667	0.00599	0.0134	0.0148	0.0151	0.017	0.0219	0.00744	0.0138	0.0151
Sinobacteraceae	0.372	0.448	0.359	0.331	0.559	0.581	0.46	0.522	0.46	0.223	0.215	0.39	0.307	0.404	0.415	0.248	0.541	0.462	0.58	0.534	0.305	0.105	0.587	0.461	0.45	0.402	0.489	0.257	0.661	0.18
Bacteriovoracaceae	0.0073	0.0182	0.00555	0.0198	0.0167	0.00957	0.00297	0.0176	0.00701	0.00607	0.00543	0.00606	0.0108	0.0124	0.0109	0.00909	0.0437	0.0137	0.0152	0.0169	0.0311	0.00599	0.0268	0.0246	0.0195	0.0136	0.00994	0.0149	0.0161	0.0281
Pseudomonadaceae	2.19	0.789	3.75	3.33	1.95	1.52	2.14	1.3	3.55	3.01	1.7	6.94	4.04	4.84	2.12	1.68	2.05	1.17	1.36	1.72	1.24	5.27	2.26	2.98	2.88	2.79	2.91	1.66	1.64	1.62
Neisseriaceae	0.68	0.393	1.04	1.32	1.06	0.335	0.902	0.258	0.761	1.19	0.885	1.01	1.7	0.895	1.03	4.62	1.52	1.66	1.91	2.46	1.88	2.31	1.81	4.61	3.07	2.77	2.95	3.07	2.65	2.44
Planococcaceae	0.0493	0.0495	0.0185	0.0535	0.0501	0.0431	0.0237	0.109	0.0607	0.0243	0.0398	0.0424	0.0459	0.0497	0.0471	0.0863	0.131	0.096	0.309	0.182	0.0956	0.0389	0.0872	0.274	0.173	0.0832	0.0735	0.0706	0.101	0.0822
Methylobacteriaceae	0.0255	0.0364	0.0111	0.0139	0.0376	0.0311	0.0683	0.0264	0.0584	0.0385	0.0199	0.0591	0.0297	0.0352	0.0145	0.0227	0.0262	0.11	0.119	0.0485	0.0978	0.189	0.0872	0.0986	0.0908	0.0764	0.107	0.0297	0.0438	0.0476
Chitinophagaceae	0.0146	0.0234	0.00555	0.00594	0.023	0.00718	0.00891	0.0264	0.00934	0.00607	0.0109	0.00303	0.00809	0.00622	0.00906	0.025	0.0116	0.0137	0.0177	0.0253	0.0178	0.00898	0.0134	0.0197	0.0346	0.0357	0.0358	0.0223	0.0345	0.0151
Desulfovibrionaceae	0.219	0.38	0.215	0.216	0.315	0.545	0.196	0.147	0.131	0.0688	0.197	0.197	0.0863	0.247	0.136	0.17	0.114	0.08	0.0633	0.0696	0.1	0.0449	0.111	0.0838	0.11	0.0883	0.0636	0.0855	0.117	0.104
Opitutaceae	0.115	0.0755	0.0407	0.0693	0.1	0.103	0.0505	0.0557	0.0864	0.107	0.125	0.121	0.0324	0.0995	0.0979	0.0704	0.0669	0.0434	0.0658	0.0485	0.0333	0.015	0.0369	0.0567	0.0843	0.16	0.113	0.0744	0.0875	0.0736
Prolixibacteraceae	0.166	0.169	0.117	0.156	0.175	0.634	0.154	0.326	0.112	0.162	0.215	0.212	0.197	0.419	0.179	0.114	0.224	0.149	0.109	0.182	0.196	0.0479	0.138	0.0961	0.238	0.306	0.173	0.335	0.166	0.232
