Paenibacillaceae_1	Ruminococcaceae	Rhodocyclaceae	Clostridiaceae_1	Sphingomonadaceae	Lachnospiraceae	Rhodospirillaceae	Planctomycetaceae	Syntrophobacteraceae	Flavobacteriaceae	Comamonadaceae	Oxalobacteraceae	Ignavibacteriaceae	Hyphomicrobiaceae	Geobacteraceae	Xanthomonadaceae	Bacillaceae_1	Caldilineaceae	Rhizobiaceae	Rhodobacteraceae	Nitrospiraceae	Methylococcaceae	Nocardioidaceae	Micromonosporaceae	Enterobacteriaceae	Spirochaetaceae	Caulobacteraceae	Burkholderiales_incertae_sedis	Cystobacteraceae	Acetobacteraceae	Microbacteriaceae	Parachlamydiaceae	Porphyromonadaceae	Bdellovibrionaceae	Sinobacteraceae	Bacteriovoracaceae	Pseudomonadaceae	Neisseriaceae	Planococcaceae	Methylobacteriaceae	Chitinophagaceae	Desulfovibrionaceae	Opitutaceae	Prolixibacteraceae	Polyangiaceae	Gaiellaceae	Gracilibacteraceae	Desulfobulbaceae	Oscillochloridaceae	Desulfobacteraceae	Solirubrobacteraceae	Intrasporangiaceae	Streptomycetaceae	Clostridiales_Incertae_Sedis_XII	Phyllobacteriaceae	Desulfuromonadaceae	Verrucomicrobiaceae	Haliangiaceae	Clostridiales_Incertae_Sedis_XI	Syntrophaceae	Gallionellaceae	Peptostreptococcaceae	Conexibacteraceae	Thermomonosporaceae	Acidimicrobiaceae	Burkholderiaceae	Nannocystaceae	Gemmatimonadaceae	Rhodothermaceae	Myxococcaceae	Sphingobacteriaceae	Veillonellaceae	Pseudonocardiaceae	Mycobacteriaceae	Erythrobacteraceae	Thermoactinomycetaceae_1	Bradyrhizobiaceae	Sandaracinaceae	Coriobacteriaceae	Geodermatophilaceae	Aeromonadaceae	Methylocystaceae	Streptosporangiaceae	Methylophilaceae	Micrococcaceae	Cellulomonadaceae	Labilitrichaceae	Bacteroidaceae	Bacillales_Incertae_Sedis_XII	Chromatiaceae	Clostridiales_Incertae_Sedis_XVIII	Nitrosomonadaceae	Iamiaceae	Saprospiraceae	Holophagaceae	Rhodobiaceae	Cytophagaceae	Rhizobiales_incertae_sedis	Clostridiales_Incertae_Sedis_XIII	Hyphomonadaceae	Sneathiellaceae	Anaerolineaceae	Alicyclobacillaceae	Acidimicrobineae_incertae_sedis	Leptospiraceae	Paenibacillaceae_2	Xanthobacteraceae	Propionibacteriaceae	Aurantimonadaceae	Alcaligenaceae	Thermoactinomycetaceae_2	Nocardiaceae	Kineosporiaceae	Heliobacteriaceae	Oligoflexaceae	Deinococcaceae	Herpetosiphonaceae	Chloroplast	Clostridiaceae_4	Family_I	Cryomorphaceae	Syntrophorhabdaceae	Demequinaceae	Promicromonosporaceae	Marinilabiliaceae	Rubrobacteraceae	Family_V	Shewanellaceae	Moraxellaceae	Campylobacteraceae	Eubacteriaceae	Hydrogenophilaceae	Erysipelotrichaceae	Desulfomicrobiaceae	Glycomycetaceae	Fusobacteriaceae	Leptotrichiaceae	Thermaceae
Paenibacillaceae_1	1	0.113072806949904	-0.363816677559568	-0.350433160527099	0.175204384171186	-0.225475597114322	-0.0109200105148293	-0.0571897482455654	0.534136391717591	-0.221121445657009	-0.0870620214883213	0.0366054355828139	0.479134948177177	0.200158515100582	0.579728263233643	0.289711735684599	0.0158978810746413	0.35020784969821	0.115158959526602	0.0361905515255782	0.464824561890331	0.0387571501995156	0.0963868241569313	0.0230103918044173	-0.39667765656922	0.432240230627324	0.177608680285503	-0.325467840657981	0.336992489720131	-0.00653380316132906	-0.0441864994541177	0.0210408381550999	0.374986559457198	-0.00895110753795865	0.330298220772444	-0.165098414006626	0.179153155278719	-0.371071886301439	0.0621303029582512	-0.0845995438656867	-0.00342704475551105	0.267193610691686	0.179137291783569	-0.0025809517519987	-0.101439851098158	-0.0127046302749001	-0.0893517343975173	0.510922868970171	-0.0925383538527098	0.0801672191528554	-0.0714247023475452	-0.149252392806766	-0.1841647206446	-0.374506381978687	0.364201221172574	-0.18065238037894	0.00540947843725438	0.353250716054471	-0.000582206638800697	0.347603006465157	0.620198307650038	-0.0209340066706846	0.140914142849054	-0.149777016357708	0.2635532666885	0.229640535512341	0.0832179855087321	0.179472080415069	0.367823999609716	0.226688291023511	-0.476110026155212	0.597741694425239	0.282183995435498	0.516472916873792	0.358757220751397	0.295197288255141	0.385994293358671	-0.156019217952061	0.0742348480977554	-0.0534208666837412	-0.421732061570895	0.342101690355355	0.249135562514639	-0.163089844581602	0.0903563634303444	0.0264286832782884	0.0495675747897291	0.16176705445294	0.219829014693552	-0.0144320192735647	0.0156332755008767	0.0845674395333391	0.172926920483468	-0.268905737595226	0.432614589970493	-0.131997669971874	-0.118130173377174	-0.00806021436802842	-0.246237184301656	-0.0651702130359265	-0.00861403503507407	0.356239777725556	-0.0132186195556794	-0.0132102848292644	0.13155659038007	-0.0394353143957993	-0.229232346391016	0.190742242976468	-0.17440865075827	0.153866448777029	-0.123798137420889	-0.0647143163555774	-0.283563361272767	0.303450752549335	0.225537886524207	0.309970845442804	-0.33962479329121	0.0300977094169425	0.112382899128018	0.212199687616249	0.161939468794785	0.280450598301268	-0.281714515336972	0.108342304110374	-0.111514303726632	0.103081098898907	0.149529521629089	-0.190558227897285	-0.245169767221268	-0.18571274782816	-0.0896835636049703	-0.1122075552159	0.428315706769503	0.327946244813281	-0.202586412976581	-0.36819248682711	-0.252853331927136	0.251711842918772
Ruminococcaceae	0.113072806949904	1	0.0310844657828488	-0.235504922338761	-0.208499996784675	-0.163805795816042	-0.404702986603031	-0.144046027421945	0.222484157839511	-0.312845823079367	-0.00240398849088977	-0.0456632291967264	0.340747872867585	-0.19136383451851	0.137157605377952	0.0289913497384132	0.339313936258654	0.337240577642472	-0.164077625837171	0.0205910552236507	-0.00579667375904634	-0.293147099407421	0.201284493157292	0.00691928768919752	-0.255625813743386	0.319554824958822	-0.17561577653345	-0.15463324069326	0.21100814316573	-0.0359006586458035	0.184274858795782	-0.0384894986549674	0.114805387264139	-0.187622998693051	-0.0906831519804064	-0.123001783772547	0.120579540689017	-0.0526153389813859	-0.0246475283048812	-0.234110139115796	-0.0966184209650011	-0.0903780983004791	0.205411545904999	0.116139784010556	0.189151681143883	0.0546007527915962	-0.155277769954188	0.112578642112745	0.134940306491081	0.174281147396585	0.176015999244896	0.170490797600922	-0.220688471201342	-0.0748910946702247	0.184429075451383	0.0223850298701177	-0.0762773503770438	0.101392800956763	-0.0911567121419504	-0.160180761546481	0.250613997862545	-0.14918814595243	0.350922113097286	-0.426813503955042	-0.0881311451422628	-0.0597269815918767	-0.201477719974509	0.107638075730171	0.426320378657362	-0.182972027779612	-0.144829309763746	0.320926638739067	0.0462695100661737	-0.0369876308514683	-0.0808511065745348	0.327184566605178	-0.246743073386007	-0.0354395161302375	0.222582170392115	0.109534613942434	-0.187257901945779	-0.284372388076481	0.574766070092997	-0.371498717685642	0.485912228818572	0.348989745784324	-0.147111508194793	0.288827126602278	0.258980641941193	0.0571176735853548	-0.221518454063601	-0.052882448469927	0.250226731550083	0.0596398735431878	0.122744550896491	0.00161373548149516	0.113196787585716	-0.0722563837637747	-0.0454925808912336	0.101191970419187	-0.305538842344299	0.118266231686442	0.128945036219523	-0.279746160806223	0.171230161397526	-0.0516626292908557	0.00857990723170111	0.336994000623582	0.0357322901978139	0.00757930525545702	-0.0607746243863966	-0.227425009664523	-0.201167993687747	-0.0543279297036966	0.00267455813116648	0.154060964906512	-0.143954366172948	0.0795661344588753	0.322676447504609	0.180596553731914	-0.0213682946017838	0.128471681118446	0.0663952093352447	-0.067980101956683	0.0814117910297288	0.230091350310296	0.204949709902135	-0.165231660204772	-0.193512067005666	-0.0170566427381781	-0.108295402798242	0.0684885693084257	0.204605998158175	-0.05943349182871	-0.0939675394570381	-0.137326984057868	-0.0259979966144291	0.254215425833658
Rhodocyclaceae	-0.363816677559568	0.0310844657828488	1	0.108367797903631	-0.0800565133862527	0.00585634143210853	0.201622785019186	0.113075097439078	0.0285541397316622	0.167876855312435	0.123324018516144	-0.0401506803882449	0.0309369450977445	0.114293358613744	-0.115068105200942	-0.116700683715895	-0.128949860136178	-0.0234325489792411	0.124532389814408	-0.0556402079017632	0.0746496771121379	-0.085616446704676	-0.0556049552587633	-0.0742798870711157	0.0664859734052541	0.0462314844444975	0.0240397628515788	0.116795784312571	-0.196704347407455	-0.0707078279400402	-0.120049436091805	0.22163941333057	0.207947675371161	0.0257828851186638	-0.052078171582307	-0.00828270813919942	-0.134403863259366	0.197939923920278	0.00850853940405864	-0.0508797021978206	0.0424456721264765	0.0325909219938744	0.210064280831882	-0.00511515767539735	0.198898840525706	-0.0266487643937575	0.113966567394798	0.120443511923922	0.411054174303921	0.169935609384181	-0.052504448152733	-0.217287834169915	-0.00174194369764367	-0.275720945804536	-0.00665260125205282	-0.206734838592998	-0.0416931850164219	-0.0449062304543191	0.115009911984892	-0.0492323229949535	0.10120231979487	-0.0218092195133064	0.090321119200903	-0.141056499419413	-0.0731356916676108	-0.274935134745251	0.0843375455027357	-0.157075225795168	0.0200059984879238	0.0960724328567098	0.085285591064899	-0.179371037763918	-0.278047038881794	-0.0749487160119418	-0.170336019323866	-0.156368656818934	-0.294359499715304	0.307992970011613	-0.00801589300981488	0.00929759974251222	0.126540780968016	-0.170117310489172	-0.175529386492794	0.104925264084194	-0.103949588024418	0.0223015061664964	-0.0339479768816987	0.23491508040224	-0.22033710689274	0.0678244985845961	-0.0334139144631577	0.12544256650748	-0.081323725612204	-0.0413788598448559	0.0315680711759539	0.0352561749817825	0.31779056539799	-0.00340234329458951	0.268781952380893	0.036196579569278	0.204702175394585	0.0226750059715532	0.221227688488427	-0.0221096100935173	0.0833799474257789	0.00302460081891362	0.206258725704756	-0.0016997289722968	0.0427822753744328	-0.173621126218187	-0.131614539396134	-0.211796632523327	-0.0392947238852072	-0.0858110949533801	0.102790928301656	-0.172168739695918	0.0824335870122381	0.0121429802404467	0.0129141947878973	0.189342637672728	-0.107312564235911	0.0205870957802285	-0.100752764729402	0.167771738503735	0.103234195273427	-0.0683259430851812	-0.260498663578737	0.0556166667445621	-0.0942254405528243	0.0117278299456624	-0.100383399475285	0.196540543190048	-0.0428789720236277	0.0973275420403606	0.0969094326973593	-0.025298643605733	0.223432798347086	-0.137021727496513
Clostridiaceae_1	-0.350433160527099	-0.235504922338761	0.108367797903631	1	-0.0310290138175596	0.780148616155863	0.40997384464631	-0.199604798122506	-0.240254404235356	0.431154169382448	-0.590381745506625	0.366766810704324	-0.267594780850705	0.336341067267633	-0.548143005585755	-0.190444960854836	-0.456181683674985	-0.156191160357997	-0.107838929802688	-0.494821138760467	-0.585619370699321	0.579969124749937	-0.131905422357918	-0.280262367101581	0.458427653048452	-0.771336017991452	0.391193643397757	0.797324124253818	-0.654553636474237	-0.309111736832767	0.157798980807224	-0.368136070802095	-0.526753464369737	0.131039852229767	-0.014876618062691	0.524384809262707	-0.305169238554809	0.695693218828549	0.570019104529378	0.481023347035989	0.461537670113222	-0.542719797210647	-0.362715143145984	-0.214314632825131	0.0819344278836776	0.505774585124272	0.678204024398668	-0.772759211243647	-0.309892526354763	0.514799638990869	0.374250106199535	0.148151278433311	0.554613228788897	0.22513419250179	-0.385451494068193	0.454051339992865	-0.221140103752662	-0.671771395713882	-0.447377936251287	-0.30483777640198	-0.555749102154421	0.785557267380736	-0.279614903204204	0.584990220253658	-0.0471315396537691	0.0256149206114307	0.436532601091631	-0.509597320110616	-0.190743160892767	0.497117426253166	0.525005475440463	-0.558875281408693	-0.367874747801129	-0.299349538469192	-0.269472536678136	-0.221495829621961	-0.0357121306190344	0.545028244423088	-0.63776156420606	0.375329659586507	0.684098551008498	0.336626897174889	-0.437967702277275	0.472356147248342	-0.0835814759007226	0.147376106611015	0.529085967674455	0.0165863172454728	-0.512931860759154	0.0107281284791684	0.514239847734103	-0.196717082191671	0.569581872041409	0.0819197584270497	-0.737414008791815	0.700167750881993	0.186201701135194	-0.315875730300221	0.789916814516933	0.127461334849244	0.47426110887702	-0.366537132636594	0.456130814800143	-0.180573310270922	-0.590173713386814	0.547109161675465	0.359893037737483	-0.343756915263409	0.120361868140565	-0.0803685977034788	0.109690436930113	0.332667678323933	0.22163851414544	-0.178488479518153	-0.721773614420456	-0.343943739368826	0.297325170417685	-0.356202877191555	-0.570082294893083	0.0919241987342618	-0.00407160515082757	0.0890406069866995	-0.0413304698966432	-0.297769067219252	-0.552167102599184	-0.661056190724285	-0.31371189645769	0.200487943305713	0.380696017020399	0.518230012265486	-0.00146267358341374	0.610791961426903	0.070072211510882	-0.541830554869294	0.696797363405162	0.80446846904821	0.531714566348447	-0.573756885442949
Sphingomonadaceae	0.175204384171186	-0.208499996784675	-0.0800565133862527	-0.0310290138175596	1	0.1359664402922	-0.0671351035219446	0.542916075617093	-0.156601658998615	-0.120047321037303	0.117016072215502	0.175841353183093	-0.284223599054445	0.708217624373191	0.188643295360171	0.635096424170267	-0.310076560372438	-0.056036677063501	0.703833291087698	0.619562587447244	0.194203198956287	0.0955762223486239	0.324331400214549	0.445681966548484	-0.0180593353183955	-0.198875571934637	0.551787401495634	0.0718123451607681	-0.330696501168813	0.375904123859077	0.311368557985729	-0.213295573372644	-0.117102538086929	0.266179506940881	0.210894330171178	-0.0889219970490896	-0.0823613633063157	-0.0113373249211057	-0.0470433039713972	0.248133272327626	0.215173977354401	0.412682191294122	0.0120893882984505	0.0644963023962624	-0.0335816903932165	-0.271866346439563	0.0307978662841781	0.112661366163149	0.0887294049751707	0.15005958702764	-0.0662497361443754	0.107249246693098	0.0360244676114788	0.0378497956606814	0.139302296898608	-0.173698354774121	0.37625286764835	0.0193884583825682	0.125382032652024	0.0779167053379001	-0.198076375959245	-0.0277588393748786	-0.359054921910712	0.0164079754618578	0.537192002287142	0.188532743029112	0.116432559060418	0.540782000022772	-0.268409283635238	0.194949366077313	0.0888144541984562	-0.0366992504999147	0.0757942307806312	0.186189102759602	0.647834922215867	-0.0386966691405715	0.13894693300323	0.10463872236977	-0.0826643755399953	0.327840990691943	-0.0558019519515423	0.325986208058275	-0.120907600932534	-0.0313937054266733	-0.216937692253336	0.162411274759043	0.0945463242012658	0.0498648329072685	-0.0945780844703431	0.207795407734136	0.04045276238884	0.0574914130674111	-0.018604701461399	-0.0359579194189759	0.0249247062759231	-0.0683068313790129	0.175646649316232	0.765397843687696	-0.0708405688487319	0.0229599600116354	0.177295671592001	0.0419477537721489	-0.215872718862598	0.612685265295551	-0.180608862814426	-0.172197739291858	0.412387560067113	-0.0912389623302624	0.296232467930985	0.15840621909087	-0.141700297299076	-0.188510479560364	0.298827028345613	0.0701370558273253	0.167305377169314	0.151494719306302	0.398876585185263	0.304791382727059	0.184646617755401	0.0143056412169621	0.504988067560032	0.0313146782575275	0.210311125920023	-0.150966996410128	-0.153212948822612	0.176968786236602	0.274554858591974	0.0807358287050782	0.322960448700807	-0.158716553203063	0.262252034229186	0.135289046555635	-0.153000148942	0.357674487194296	0.158783727417755	-0.114162979996215	-0.236496702904562	0.214862026408197
Lachnospiraceae	-0.225475597114322	-0.163805795816042	0.00585634143210853	0.780148616155863	0.1359664402922	1	0.321370761932143	-0.202226062902518	-0.242735956966191	0.147839968081204	-0.618619781241655	0.433799972670944	-0.221855125622486	0.375343939562848	-0.47814180403987	0.0110988570734567	-0.363268192315194	-0.0940965006822041	0.0485841014926085	-0.370095088387532	-0.515446685665673	0.333448455898454	-0.0179924723737287	-0.245439041248332	0.403128780139206	-0.657792302427837	0.206499978201311	0.472047322604509	-0.507656713498855	-0.360745447666913	0.561939003555822	-0.378800259460488	-0.427916704882781	0.044435005125469	-0.166162475052361	0.272683068199552	0.140498510745387	0.570701846594174	0.419484116516317	0.720073670416252	0.318185366731871	-0.479234302307957	-0.310313364288234	-0.183463846038779	-0.155546471030848	0.329125335375974	0.476364349911063	-0.653162184382005	-0.291556810550517	0.48186315768983	0.312834943029067	0.191496770808313	0.322578506672974	0.249646039772191	-0.254267253910074	0.465320778272339	-0.284299971336343	-0.620505352770029	-0.342122794610962	-0.261752899502572	-0.506781441522291	0.663958415729701	-0.276444789101439	0.23336933977492	-0.127555886078743	0.174223201134406	0.469517167237255	-0.438748198499943	-0.138405654664961	0.26728584742776	0.69179116318852	-0.410242141694324	-0.330759054817683	-0.314063383192671	-0.201804728543855	-0.249423918770581	-0.121058336580208	0.509385533092737	-0.530847319624432	0.550040927023933	0.805467039737446	0.120033842753114	-0.383715513269084	0.348216129831974	-0.0371181262111669	0.181741818386828	0.334270176291607	-0.0629719975645695	-0.316150317602719	0.406803104994225	0.337732867491211	-0.244129352984493	0.436851010663626	0.116872595956832	-0.647234043116283	0.602356888062975	0.0126951800607568	-0.151489704656469	0.561768047843759	-0.11146484905152	0.268257091612363	-0.192714643065124	0.323069150971109	-0.1791294886599	-0.584835512687867	0.427744976151889	0.481463636784216	-0.316583952060735	0.599111573500135	-0.0534999633950369	0.0583729876620328	0.214514106508573	0.446978001884819	-0.168700106583657	-0.608758168485232	-0.168923074079133	0.435155782534105	-0.372030596074049	-0.476772482342808	0.0398735197281512	-0.00297056149578413	0.348480524576697	0.0378391173583196	-0.220153469782284	-0.450753112181263	-0.546801900169474	-0.232847120282754	0.134561220450738	0.589680672145136	0.441564519463308	-0.00652932901136559	0.540459592862566	0.15290824379661	-0.394825468795846	0.494201028117998	0.763500501857299	0.358674160816695	-0.457445855572522
Rhodospirillaceae	-0.0109200105148293	-0.404702986603031	0.201622785019186	0.40997384464631	-0.0671351035219446	0.321370761932143	1	-0.204842814665304	0.14293369674789	0.278630427143463	-0.200957240754861	0.218109371551907	0.104619349273221	0.082627947859856	-0.109703510758764	-0.301280640080506	-0.232400629084856	-0.122107551172407	-0.00401947406528892	-0.413447693135305	-0.16854289738315	0.304681477698139	-0.0675728753131908	-0.242349956226547	0.0894843106922016	-0.286699638993113	0.116398577169228	0.313005182010278	-0.235226820312093	-0.339033352280111	0.169930873963406	-0.0744127171427232	0.131242074449548	0.212571012992867	0.301938758464735	0.16027450912931	-0.134262437469187	0.390094801410236	0.420197142391496	0.394754185669006	0.468498284392909	-0.251635966038968	-0.0884130620844763	-0.183302340386697	-0.017507195277459	0.408726414127031	0.519418504072535	-0.197121633152297	-0.296643152921394	0.470100912525795	0.266483767567248	-0.0467532881026901	0.17724084848739	-0.0210569683333692	-0.257848703650404	0.324002037174752	-0.270505699005516	-0.345679450715791	0.0175321537197305	-0.268645376033391	-0.0745764804222672	0.276737735192951	-0.145109906590256	0.249148811453057	-0.0983477920233179	0.183699111747706	0.157397268341983	-0.505474695085038	0.0567943893639296	0.205356275629358	0.175544263883026	-0.401568545217036	-0.24390247277367	-0.0639106662101903	-0.21060143424358	-0.215202063438922	0.147783996122316	0.382048428088723	-0.504533867773187	0.242556363324424	0.288612443910963	-0.00443145911140478	-0.220517746052589	0.386742650784719	0.0340632939896806	0.112322845703771	0.32108186880676	-0.0391152496638932	-0.291552656148923	0.2190709073237	0.303220526176041	-0.142848068757143	0.367200684878404	-0.197878660592298	-0.216457667235074	0.366082651798557	-0.160348125580447	-0.231046776176238	0.162063590610063	0.134275652319492	0.467128520257658	-0.239208114546734	0.156687137990704	-0.18166860438133	-0.197648275419629	0.395619233573037	0.198826044430941	-0.123240125558591	-0.0190167299305597	0.0997041470813159	0.144661057297719	0.242129154575752	0.279756746880373	0.313635847877743	-0.192183550419232	-0.259386414274358	0.138618893303705	-0.548623838232602	-0.368356566437114	-0.156066260645085	0.00723716178145162	0.213751530111286	-0.227249711586176	0.144091611674881	-0.315821132768896	-0.608090743325789	-0.47507703478229	0.341861596192582	0.0661577766047224	0.135092543402678	-0.0940559358446314	0.502073101777184	0.118385116352968	-0.212233980652016	0.398933898593322	0.305593372457389	0.502563700770212	-0.564925058690203
Planctomycetaceae	-0.0571897482455654	-0.144046027421945	0.113075097439078	-0.199604798122506	0.542916075617093	-0.202226062902518	-0.204842814665304	1	-0.122601850376487	0.0771595682268774	0.350759249616596	-0.107877711331557	-0.216823531966058	0.310235099320304	0.225397630216324	0.439328584791228	-0.178776533737496	0.0523481909598918	0.398475491810833	0.772058439796101	0.290385719335147	-0.13053580712817	0.336449013308936	0.479158588701592	-0.0685707717757318	0.0610930898333608	0.189018514323204	-0.0373079493653006	-0.131689498661746	0.748603125821039	-0.0466669150880125	-0.0162350101180055	0.0918190973052268	0.328878332436634	0.0781268164261437	-0.0618638440575337	-0.307395534653072	-0.150050017857801	-0.178601520285587	-0.203154106878664	0.232465982855674	0.459680045109685	0.440297215178876	0.308364405124244	-0.202451039903994	-0.244764950510468	-0.171208276769024	0.214376734712495	0.419554981940737	-0.140027225633309	-0.0935285940468463	-0.0739978812447517	-0.0843720380974192	-0.0389737380865108	0.0693386148043481	-0.191615796302595	0.822880354529475	0.0756094568682751	0.203710757436663	0.24203441566732	-0.119436680586475	-0.263271833548951	-0.173097557061043	0.0595457216754089	0.661248596453786	0.0665323791705667	-0.0125278243107449	0.720509708278237	-0.207697859404346	-0.0906551513288919	-0.080608433109666	0.129463780263133	-0.0680336537843144	0.171228303261529	0.639674888231966	-0.061309064646998	-0.0670784907711691	-0.13692691654451	0.228920133888766	0.0699515817741242	-0.307759423552536	0.10514809197333	-0.0683468523113839	0.024075625076603	-0.047282540311858	0.115544632433983	-0.099479236607449	-0.176805485749996	-0.0684328207402499	-0.0282377585075044	-0.236632240237031	0.0838641189927589	-0.19629904156148	0.0790735293280843	0.217221150725555	-0.145949096309322	-0.098471505164715	0.69284231566119	-0.0581371363992237	0.219369325068369	0.209702670931572	0.191014185480995	-0.0629119308600733	0.774489346495278	0.0479414252065207	-0.168671671174195	0.150339593174799	-0.167487613546929	-0.0284690813293878	0.103934138267981	0.131645009872259	-0.311670061857651	0.129951140471105	0.0286136286926378	0.276571271294044	0.0742218929652545	0.193344758441922	0.497276933116448	0.296435729450916	-0.208115117111549	0.400478663065889	-0.0962862742128598	0.408403081937885	-0.185300857679167	0.191638612040342	0.398559265847847	0.41746418657905	0.151178775633711	-0.194146772511293	-0.0732523398603712	0.18481031088145	0.0256358001783507	-0.223292361791345	0.512729070519566	-0.0448960637235209	-0.180594587661913	-0.101338351488124	0.351666308333409
Syntrophobacteraceae	0.534136391717591	0.222484157839511	0.0285541397316622	-0.240254404235356	-0.156601658998615	-0.242735956966191	0.14293369674789	-0.122601850376487	1	-0.096686701408009	-0.238077262873957	-0.0529662462049922	0.714988068176088	-0.0410497665670988	0.30949261185447	-0.0769063389814807	0.0114617022153604	0.358164791052943	-0.107550764775812	-0.256503105452506	0.275474094286373	-0.0660886660403317	0.122766507411343	-0.0496613338370395	-0.236233838390388	0.418327314419071	-0.164771755544691	-0.237241136860748	0.29175208285604	-0.174891369012929	0.0398876930408904	0.192657093142827	0.525343201713007	0.0342862848780265	0.376487261739504	0.0990684733246621	-0.11129541245562	-0.25408802216264	0.217636038561764	-0.10183788816954	0.105728067823331	0.0187908443731317	-0.0156416276379719	-0.0670406872533134	0.0353279232128244	0.167157385808698	0.0339984467432499	0.423239354291389	-0.0110142366080732	0.129126320274801	0.0688345431732923	-0.162808184178271	-0.0704872964105235	-0.277390749797693	0.462490170012668	-0.11621311778356	0.0318162986591361	0.327923749919381	-0.0185463589893896	0.0859533627981825	0.770877023055863	-0.175719034985497	0.150109051093808	-0.0162128559453215	-1.20841738436175e-05	0.0941212353098411	-0.0741850286223426	-0.0873722612032901	0.69508784027849	0.0501052465182006	-0.223244879893324	0.260613529732266	0.418985670195372	0.24139623380312	0.0990634110454594	0.319931032346891	0.129417197478305	-0.0596108229282346	0.0567188088592941	-0.0974619590754583	-0.237050021208744	-0.000376836887034351	0.358046630818894	-0.1880844737217	0.254612829144742	0.0443884467299197	0.158053358754438	0.0175933882229856	-0.0433164903135264	-0.082654943437013	-0.106788039138574	0.166013278846253	0.255338025863413	-0.319231012014346	0.365055278792226	-0.00395993487252349	-0.165741727983037	-0.216826541909341	-0.15427829615587	-0.0581259203707855	-0.0143034863332916	0.0749501383582245	0.104569135358999	-0.306233228464643	0.427340624071264	0.033612149084279	-0.00482492281893631	0.235214857756938	-0.223099753891185	0.38379737015551	0.170426148535805	0.0315190912572443	-0.193343861273484	0.345014397320453	0.209158575961894	-0.0994948364096637	-0.225936009661614	-0.197633863668714	0.0699829331885251	-0.0781482306826592	-0.0620484967467548	0.309674058786778	-0.40622433627501	0.1488185526403	-0.0686469441151362	-0.0460695322661144	-0.154587620264933	-0.0843231793478321	-0.399896348535292	-0.124476704605484	-0.183842721013521	0.00549338049164711	0.173606319519752	-0.0524193794932635	-0.14716607152529	-0.230521387120559	-0.0554172502214367	0.0231856990006932
Flavobacteriaceae	-0.221121445657009	-0.312845823079367	0.167876855312435	0.431154169382448	-0.120047321037303	0.147839968081204	0.278630427143463	0.0771595682268774	-0.096686701408009	1	-0.123408839407827	0.298460457623178	-0.232054140757516	0.0334093109131171	-0.463799814351316	-0.146014316370559	-0.25091443272385	-0.114222560269484	0.0361263971251762	-0.225886959198653	-0.359692492987035	0.146271100555356	-0.160065668786355	-0.203199094948176	-0.00842481852216594	-0.454945720667087	0.243191982556186	0.359623468638071	-0.578479785308393	0.00796304086472695	-0.274502896045848	-0.297266565757429	-0.402339145442507	0.0777493778516097	-0.123920111365007	0.272444555268964	-0.201173778640881	0.37495574514151	0.0994614149935175	-0.181503635492434	0.207975434547443	-0.206566197870183	-0.021765680789481	-0.0882002821816947	-0.230830856471001	0.248935284108774	0.277443344620496	-0.32230379812322	-0.108294209886851	0.0964894163497785	0.215624097798616	0.20845144787889	0.327106462975726	0.326512341139837	-0.17734421424052	0.0279633311273082	0.0659007839926401	-0.343636837763482	-0.226683414428927	0.0360535522399163	-0.288408225276132	0.251445450355891	-0.293510303124751	0.279530573997359	0.0567652880478603	-0.0490567000756412	0.327711895507362	-0.238451026553015	-0.11384508791212	0.238655035880178	0.181982782118902	-0.324870761822927	-0.238222127588981	-0.2037548292654	-0.180468595178844	-0.10849231631293	0.34547264119928	0.336525668400049	-0.186216458218681	-0.112725195759726	0.259242112231359	0.214317332692769	-0.289187403354908	0.447404069618288	-0.24825957455352	-0.133443165173578	0.140820506547521	-0.0290089941333517	-0.331459349707797	-0.0331704247100067	0.0124889382197575	0.000877215991534734	0.146184931682424	0.121190255554861	-0.379849004602681	0.203041592321506	0.289405429327804	-0.298565894004474	0.451190109315816	-0.0893580452575021	0.437653993661148	-0.112500245118317	0.151533868441741	0.0737877700914892	-0.0896969310857066	0.233744928561183	-0.0678051528650162	-0.392600506847223	-0.197651750533314	0.195251439119898	0.140492772060272	0.0883912362207775	0.010900934675904	-0.084143730812131	-0.318515646187927	-0.193997571894066	0.0640066851108962	-0.111586829111203	-0.401260822770258	0.172604792517464	-0.0159381474286584	-0.23800918646257	0.156197729674009	-0.110323268722546	-0.226990912083146	-0.256341854899538	-0.281735362226276	0.1898499873406	-0.0607317548762791	0.299972120432331	-0.0613025813136225	0.330360193347172	-0.0973910240093934	-0.194497524180712	0.465908678748171	0.269311746533633	0.329578590243376	-0.328862769498615
