genus	degree
Clostridiaceae_1	8
Sphingomonadaceae	1
Lachnospiraceae	3
Planctomycetaceae	4
Syntrophobacteraceae	1
Geobacteraceae	3
Rhodobacteraceae	4
Nitrospiraceae	2
Methylococcaceae	2
Micromonosporaceae	1
Spirochaetaceae	4
Burkholderiales_incertae_sedis	2
Acetobacteraceae	2
Neisseriaceae	2
Planococcaceae	1
Desulfovibrionaceae	5
Gaiellaceae	1
Gracilibacteraceae	2
Desulfobulbaceae	5
Desulfobacteraceae	3
Verrucomicrobiaceae	1
Clostridiales_Incertae_Sedis_XI	2
Gallionellaceae	2
Peptostreptococcaceae	1
Acidimicrobiaceae	1
Gemmatimonadaceae	4
Sphingobacteriaceae	1
Erythrobacteraceae	2
Sandaracinaceae	1
Geodermatophilaceae	1
Aeromonadaceae	2
Labilitrichaceae	2
Bacteroidaceae	1
Chromatiaceae	1
Clostridiales_Incertae_Sedis_XVIII	2
Iamiaceae	1
Holophagaceae	6
Rhodobiaceae	2
Cytophagaceae	1
Rhizobiales_incertae_sedis	4
Clostridiales_Incertae_Sedis_XIII	1
Acidimicrobineae_incertae_sedis	2
Paenibacillaceae_2	1
Kineosporiaceae	2
Oligoflexaceae	5
Herpetosiphonaceae	2
Clostridiaceae_4	2
Family_I	2
Hydrogenophilaceae	2
Desulfomicrobiaceae	2
Fusobacteriaceae	2
Leptotrichiaceae	1
