IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Paenibacillaceae_1	0.476	0.0515	0.0894	0.0466	0.065	0.0227	0.0595	0.0685	0.132	0.0287	0.0492	0.0479	0.056	0.189	0.0524	0.124	0.0471	0.0445	0.048	0.0288	0.0294	0.0197	0.00819	0.0309	0.0672	0.02	0.0854	0.0181	0.111	0.0797	0.0172	0
Ruminococcaceae	0.0964	0.0806	0.0979	0.0719	0.0488	0.102	0.0534	0.154	0.039	0.0439	0.0369	0.0819	0.0632	0.0932	0.0737	0.0238	0.0495	0.00741	0.0861	0.0144	0.035	0.0222	0.0492	0.0291	0.623	0.031	0.0834	0.0946	0.104	0.0429	0.0133	0.104
Rhodocyclaceae	4.97	5.76	5.26	6.01	4.3	4.49	5.23	5.78	6.09	4.66	5.85	5.72	4.3	3.84	5.56	2.85	5.43	9.37	3.75	5.63	4.61	4.61	5.33	5.42	4.34	7.38	5.86	5.73	3.86	6.11	5.25	5.11
Clostridiaceae_1	0.382	0.173	0.0873	0.163	0.0894	0.0389	0.058	0.103	0.222	0.597	0.204	0.194	0.047	0.544	0.0911	5.79	2.44	4.24	0.412	3.04	4.42	1.68	1.57	1.46	2.82	2.61	5.6	1.71	1.59	3.14	0.513	0.94
Sphingomonadaceae	0.495	0.429	0.458	0.825	0.74	0.742	1.13	0.491	0.611	0.424	0.504	0.895	0.468	0.282	1.12	0.503	0.339	0.252	0.342	0.242	0.666	0.55	0.67	0.519	0.362	0.437	0.97	1.11	0.7	0.386	0.419	0.205
Lachnospiraceae	0.0308	0.0343	0.0234	0.0402	0.0163	0.0162	0.0336	0.0234	0.0509	0.0439	0.0215	0.0459	0.0163	0.0262	0.0252	0.515	0.221	0.324	0.102	0.178	0.254	0.17	0.158	0.147	0.297	0.235	0.468	0.145	0.169	0.227	0.0496	0.0612
Rhodospirillaceae	0.0964	0.141	0.172	0.372	0.276	0.199	0.143	0.112	0.107	0.433	0.292	0.252	0.181	0.396	0.105	0.11	0.207	0.0766	0.118	0.0777	0.0847	0.101	0.104	0.127	0.174	0.206	0.202	0.167	0.248	0.153	0.0801	0.0918
Planctomycetaceae	0.00385	0.0189	0.0405	0.0783	0.0325	0.0405	0.0244	0.0639	0.0322	0.0304	0.0323	0.0519	0.0289	0.0262	0.0116	0.00953	0.00942	0.00247	0.018	0.0115	0.0515	0.00247	0.0901	0.0182	0.0255	0.0237	0.0407	0.0161	0.0575	0.00613	0.021	0.00612
Syntrophobacteraceae	0.0251	0.00515	0.00426	0.00635	0	0.00162	0.00153	0.00312	0.0017	0.0186	0.00769	0.014	0.00723	0.0408	0.00776	0.00953	0.0141	0.00494	0.016	0.0115	0.0166	0.00987	0.0328	0.0127	0.0464	0.00911	0.031	0.00403	0.0144	0.0092	0.00572	0.0122
Flavobacteriaceae	0.761	0.499	0.913	0.54	1.35	0.656	0.271	0.601	0.324	0.167	0.278	0.433	0.566	2.35	0.366	2.8	0.386	0.719	0.669	0.314	1.07	1.12	0.412	3.2	1.26	1.57	1.54	0.534	1.42	1.02	0.488	0.404
Comamonadaceae	3.02	11.8	13.3	9.11	12.8	8.34	12.6	11.1	16.1	8.25	10.7	10.2	12.6	7.59	12.1	3.82	5.78	5.24	6.79	3.91	5.36	4.88	9.36	6.05	5.52	7.58	6.46	5.77	8.3	4.28	5.81	4.81
Oxalobacteraceae	0.202	0.71	0.886	0.315	0.563	0.202	0.662	0.531	0.446	0.379	0.652	1.93	0.712	0.524	0.63	0.131	0.448	0.212	0.0981	0.124	0.473	0.387	0.344	0.328	0.202	0.508	0.411	0.197	0.999	0.297	0.187	0.205
Ignavibacteriaceae	0.57	0.12	0.134	0.138	0.0731	0.125	0.159	0.143	0.109	0.196	0.155	0.166	0.231	0.3	0.0969	0.131	0.21	0.133	0.372	0.181	0.276	0.232	0.295	0.242	0.429	0.169	0.388	0.236	0.517	0.245	0.183	0.282
Hyphomicrobiaceae	0.842	0.415	0.445	0.743	0.796	0.372	0.522	0.425	0.477	0.532	0.443	0.491	0.435	0.608	0.543	0.667	0.678	0.405	0.665	0.452	0.762	0.711	0.834	0.843	0.688	1.07	0.832	0.701	0.866	0.604	0.73	0.517
Geobacteraceae	0.765	0.41	0.581	0.326	0.244	0.372	0.249	0.466	0.241	0.348	0.391	0.737	0.37	0.44	0.353	0.269	0.231	0.267	0.236	0.19	0.202	0.151	0.324	0.231	0.172	0.346	0.227	0.262	0.241	0.297	0.21	0.383
Xanthomonadaceae	0.104	0.439	0.37	0.51	0.91	0.261	0.323	0.305	0.478	0.21	0.555	0.567	0.445	0.212	0.531	0.272	0.184	0.193	0.308	0.173	0.28	0.227	0.549	0.208	0.528	0.421	0.349	0.348	0.532	0.279	0.362	0.205
Bacillaceae_1	0.168	1.04	0.294	0.121	0.642	0.614	0.48	0.836	0.512	0.695	0.26	0.322	1.21	0.335	0.231	0.622	0.233	0.304	0.21	0.216	0.412	0.163	0.233	0.215	0.199	0.257	0.188	0.226	0.244	0.331	0.153	0.0612
