Paenibacillaceae_1	Ruminococcaceae	Rhodocyclaceae	Clostridiaceae_1	Sphingomonadaceae	Lachnospiraceae	Rhodospirillaceae	Planctomycetaceae	Syntrophobacteraceae	Flavobacteriaceae	Comamonadaceae	Oxalobacteraceae	Ignavibacteriaceae	Hyphomicrobiaceae	Geobacteraceae	Xanthomonadaceae	Bacillaceae_1	Caldilineaceae	Rhizobiaceae	Rhodobacteraceae	Nitrospiraceae	Methylococcaceae	Nocardioidaceae	Micromonosporaceae	Enterobacteriaceae	Spirochaetaceae	Caulobacteraceae	Burkholderiales_incertae_sedis	Cystobacteraceae	Acetobacteraceae	Microbacteriaceae	Parachlamydiaceae	Porphyromonadaceae	Bdellovibrionaceae	Sinobacteraceae	Bacteriovoracaceae	Pseudomonadaceae	Neisseriaceae	Planococcaceae	Methylobacteriaceae	Chitinophagaceae	Desulfovibrionaceae	Opitutaceae	Prolixibacteraceae	Polyangiaceae	Gaiellaceae	Gracilibacteraceae	Desulfobulbaceae	Oscillochloridaceae	Desulfobacteraceae	Solirubrobacteraceae	Intrasporangiaceae	Streptomycetaceae	Clostridiales_Incertae_Sedis_XII	Phyllobacteriaceae	Desulfuromonadaceae	Verrucomicrobiaceae	Haliangiaceae	Clostridiales_Incertae_Sedis_XI	Syntrophaceae	Gallionellaceae	Peptostreptococcaceae	Conexibacteraceae	Thermomonosporaceae	Acidimicrobiaceae	Burkholderiaceae	Nannocystaceae	Gemmatimonadaceae	Rhodothermaceae	Myxococcaceae	Sphingobacteriaceae	Veillonellaceae	Pseudonocardiaceae	Mycobacteriaceae	Erythrobacteraceae	Thermoactinomycetaceae_1	Bradyrhizobiaceae	Sandaracinaceae	Coriobacteriaceae	Geodermatophilaceae	Aeromonadaceae	Methylocystaceae	Streptosporangiaceae	Methylophilaceae	Micrococcaceae	Cellulomonadaceae	Labilitrichaceae	Bacteroidaceae	Bacillales_Incertae_Sedis_XII	Chromatiaceae	Clostridiales_Incertae_Sedis_XVIII	Nitrosomonadaceae	Iamiaceae	Saprospiraceae	Holophagaceae	Rhodobiaceae	Cytophagaceae	Rhizobiales_incertae_sedis	Clostridiales_Incertae_Sedis_XIII	Hyphomonadaceae	Sneathiellaceae	Anaerolineaceae	Alicyclobacillaceae	Acidimicrobineae_incertae_sedis	Leptospiraceae	Paenibacillaceae_2	Xanthobacteraceae	Propionibacteriaceae	Aurantimonadaceae	Alcaligenaceae	Thermoactinomycetaceae_2	Nocardiaceae	Kineosporiaceae	Heliobacteriaceae	Oligoflexaceae	Deinococcaceae	Herpetosiphonaceae	Chloroplast	Clostridiaceae_4	Family_I	Cryomorphaceae	Syntrophorhabdaceae	Demequinaceae	Promicromonosporaceae	Marinilabiliaceae	Rubrobacteraceae	Family_V	Shewanellaceae	Moraxellaceae	Campylobacteraceae	Eubacteriaceae	Hydrogenophilaceae	Erysipelotrichaceae	Desulfomicrobiaceae	Glycomycetaceae	Fusobacteriaceae	Leptotrichiaceae	Thermaceae
Paenibacillaceae_1	1	0.0787760880641381	-0.177516423918033	-0.0709682898349007	-0.0692790848880398	-0.0700422564058499	0.00551102103015015	-0.171568900280809	0.287041786307576	0.168819359305565	-0.127536853922132	-0.0337694464556508	0.509994896487697	0.15806372974198	0.531190137907081	-0.212057275827394	-0.0418322419462965	0.0443775533492477	0.0645140725134777	-0.0729805051287701	0.326034624955127	-0.124327144842872	0.0494700999827545	-0.113657243047539	-0.0389454257751407	0.128855824255212	0.0877374081505236	-0.440435429676339	0.392076426731719	-0.107236505193981	-0.0876775420471752	-0.167481153128358	0.75257766369066	0.151467271680866	-0.319714936314775	-0.159930475695679	-0.0185947617715211	-0.22590550155554	-0.0936004037343878	-0.0528146041900485	-0.00820633266244827	-0.125621392648	0.254829669861121	0.301980366242106	-0.0376350631020526	0.315167526825269	-0.249945279511684	-0.00348835566045028	-0.132151818057175	-0.104021332049106	0.000475747706089327	-0.108995687137824	-0.201976554505442	-0.131112190561165	-0.0587830126626159	-0.0666079381667772	0.0683242461964207	0.225716083109875	-0.0857234351261514	0.376770598038817	0.327764249836977	-0.106569253576907	0.151772620386143	0.0993397589616058	-0.171010511380204	-0.215969917864148	-0.291932431966157	-0.0666274078343204	0.384287691174603	0.152839050407242	-0.168462026078929	0.175125921965129	-0.0133560658851928	0.609285285966837	-0.083028090924684	0.233269775494212	0.237237139099063	-0.33602058871255	0.087762116758453	0.0523765517842606	-0.070647181886808	0.122526612096876	0.0835631159241621	0.0933398366910959	-0.117613862358914	-0.144359438537167	-0.116755545578682	0.077741772386741	-0.0287648213308805	0.0143151177115777	0.0227838843705887	0.174405900615986	-0.0163494174092773	-0.260637787778993	0.305022349893049	-0.0786863575616116	-0.276983764319957	-0.00167468058440462	-0.0899834946224838	-0.156082730551342	0.0133076657271884	0.125747814928172	0.0574055829174898	-0.168003169834652	-0.321907026006285	-0.12226684927472	-0.163352948402462	0.448672903924034	-0.0643057692512975	-0.0926139012255171	0.0572129886244349	0.349808406046299	0.0566720218754822	0.0982645114375959	0.00589164956775348	-0.182730663613444	-0.182236372434646	0.00833251249878154	0.234225969053311	-0.0136268429059152	-0.276211554990828	-0.0654434603367601	-0.188193493448541	-0.0298305514714317	0.00140395809628517	0.381382713651585	0.0287157197621748	-0.0270636360428968	0.0599007700377123	0.00941207315790992	-0.154175139184162	-0.175086044399239	-0.0825315962540198	-0.0215712389936634	-0.216580129167626	-0.177361969364861	-0.0990140496514396	-0.00389223255650556
Ruminococcaceae	0.0787760880641381	1	-0.213497798221305	0.00488103169198419	-0.0734503722386749	0.0963619311940727	0.0522042871947022	0.0796021635361518	0.542630085457791	0.0417447816550468	-0.0565187389440395	-0.0487126313170877	0.380949356772114	0.00518067433859425	-0.0196632226413532	0.183057152978071	-0.0669337912756727	0.356610547649211	0.00875966395357011	0.0100872553938474	0.139091510465849	0.0782871862696386	0.225602467732084	0.226136832408288	-0.167875695695261	0.52036831550709	0.137278416628562	0.284914300560958	-0.0834055861696329	0.0981595936650565	-0.01258435338552	0.296709928594633	0.100755546129035	0.158653057337948	0.12188156824665	0.383735200421924	-0.0941517973771639	-0.319689969800977	0.476958394928411	-0.163895302257184	-0.0788094528143064	0.408713960014164	0.094119408101136	0.0718412475508129	0.0604321496155659	0.205840182158195	0.244789103523954	0.745656837503733	0.0895998428702812	0.437549130751964	0.487047016491601	0.258463330590165	-0.134604870040856	0.106575491752739	0.052110329199022	0.105751187411793	-0.169599410745075	0.117176099333166	-0.0258374821670389	-0.0144316745270076	-0.0385281149310528	0.0411139637505204	0.115419970764991	0.0675574884844871	0.291632830978436	0.0402389587622506	0.21182451780712	0.372302510944967	-0.0535872445936786	0.13455945934778	-0.1315668091328	0.111902682991588	-0.0832863403793391	0.153212097606418	0.105919518258281	0.38686385528472	-0.174074466479617	0.115345543322253	0.00759583118696499	0.543303480522994	-0.308259922795679	-0.16154158964878	0.0563468897050564	0.401807224079376	0.315292863374117	0.454124125682558	0.408788152578987	-0.122613180456357	-0.0735718413111551	-0.0095198383630275	-0.0640187808316458	-0.0738051171385995	0.311383368969035	0.119738695144664	0.15240712370165	0.280373888766572	0.022641140040803	0.160132906578924	0.186423627968657	0.669438395996585	0.695431152740924	0.008905166617181	0.180440498179778	-0.0444993442679793	-0.031859469242104	-0.0900314082227527	-0.10435307421726	0.331579711563613	-0.0645531579450604	-0.0653078254335528	0.127239958873575	0.107819482937471	-0.140680305205715	0.0305088022465451	-0.0365962158999107	-0.0240500092586045	0.159034367542297	-0.0415546469536076	0.00717194295694524	-0.0342015208739175	0.288360331355951	0.195722051619566	-0.152926791639581	0.410989511874937	0.0214559931912817	0.189033095800471	-0.0139871203898999	0.02570998694756	-0.0838090300233563	-0.126166550972039	-0.128256989931443	0.368643668325252	0.460927478901249	0.907063790947907	-0.113878816087635	-0.00640974913649589	-0.148799885675069	-0.0482541687193567
Rhodocyclaceae	-0.177516423918033	-0.213497798221305	1	0.118834631121037	-0.021297099408089	0.0685133673724068	-0.165989636229269	-0.0693527664959871	-0.276019905042526	-0.293146201501804	0.0483649347858036	0.0239896791163403	-0.314342630767664	-0.11392320369167	0.0581845032219679	-0.0608623190075454	-0.172152605462375	-0.22064277045446	-0.126095485808362	0.0343119538874331	0.0689145858289537	-0.0449567066808945	-0.309384639936475	-0.193450393583689	0.0599357569766559	-0.0048673518114799	-0.340039518922346	-0.0769898962348786	0.0095492453506195	0.125600454195787	-0.0280385224643033	0.0884603098074588	-0.0215411074917296	-0.148505986030559	-0.134097118281238	0.0752184792672946	-0.104994916986291	0.273911884931197	-0.0896600070550292	0.0313952406608678	-0.199297644234491	0.160451317475517	-0.057163673907366	-0.0217485252088759	-0.164454778944873	0.200938241376563	0.13994356089456	-0.239974498926746	0.137298112716181	-0.199414908099515	-0.090724600562004	-0.0392699802485755	-0.133231970495295	0.298193910378203	0.203180072531186	0.0995636905697288	0.401118227263308	-0.148476674936562	0.116425866941976	-0.0821069159063999	0.272113602956126	-0.00653159332762538	0.289876106288911	-0.200127196923352	0.0620522354245708	0.00294564575687667	-0.0991575334346697	0.0321996749252331	-0.198882632841057	0.15318974255934	0.081336439115098	-0.122039200605073	-0.088177032888491	-0.181408088182393	0.127556429754018	-0.00411521396514608	-0.117763423358041	0.303706828843935	-0.0125371363397449	-0.173980289875852	0.121602307588797	-0.0565673600641045	-0.210543288343939	-0.210551606165537	-0.10977279383572	-0.164515349042802	-0.0880186952926258	-0.280184071495333	-0.149222831516831	-0.11738172728827	0.132623075005138	0.0785590446646973	-0.1985018050057	-0.0476063981393413	-0.0348244993985775	-0.189357112511404	0.137366548049396	-0.0390462269583779	0.308578843660436	-0.176383595706236	-0.112484579784137	-0.269934427523539	-0.0880719640539861	0.0543770624049309	0.352772187769303	-0.189608494156712	-0.0883161937699163	-0.0534102456944568	0.0368740671462321	-0.214465141463601	0.072424443013635	0.00280734734741867	0.0135869089303545	-0.127993232758963	0.0586682596951275	-0.0998620194216963	-0.111680562571987	-0.108148354057564	0.0518751532013757	0.141286593281716	-0.17973548461654	-0.151709175560206	0.14816180268318	-0.156146164185803	0.0568780547301047	-0.260766055089222	-0.00412561057412633	-0.155333369756461	0.0986038172893558	-0.393398509349062	0.0666218549793682	0.139966867057255	-0.0882755352142001	-0.102428440261102	0.331447747777725	0.0659948842776929	0.364318601670846	0.000104653170431539
Clostridiaceae_1	-0.0709682898349007	0.00488103169198419	0.118834631121037	1	-0.122790346562273	0.968752212143836	-0.26632192334202	-0.192686711843794	0.286786782401522	0.42827246407258	-0.617702631442012	-0.321817040440849	0.193555662232298	0.319059733704579	-0.43440114691718	-0.291623056460561	-0.215674741049098	0.389884514601754	-0.428520416577859	-0.567559566741631	-0.458347506657771	0.28271525392827	0.354729060716685	-0.442728630240332	0.331549388983396	0.00183586881485594	0.235022313158248	0.348344254563267	-0.321857389885003	-0.0605216315055733	0.309601398068784	0.351086712333622	-0.160572038311769	-0.319751834038706	-0.0758647617529084	0.290857978792092	-0.403404389440717	0.160897934338925	0.594629210252252	0.353022420241297	-0.128483810240596	-0.0317811442314184	-0.112634337694911	-0.333476414598744	-0.162957415166691	0.440202010972669	0.608884091008189	-0.128149505255163	-0.391149381065706	0.355210476034193	0.32052522517527	0.397622564865809	-0.0689892545260135	0.480782419844808	0.150320436936026	0.0260221765207213	-0.00232599863863033	-0.38722139256632	-0.399613564577263	-0.210194831184014	0.125318934113458	0.938708084777227	-0.105632949338935	0.368180584772661	0.0474253787269878	-0.0817101901261035	0.308360655447463	-0.263360486538015	0.113654323249165	0.256214148810264	0.316676397807269	-0.491558884428845	-0.365390851286059	0.0338576048015011	-0.321390602392027	0.0681847241919786	-0.40218479797165	0.443790611925485	-0.533873625585647	0.500623726354984	0.623412828535479	0.0543130060063118	-0.282368144655897	0.0303385954148771	0.367023090559444	0.0643336359635566	0.252176908392833	0.438146062487226	-0.409680598427093	-0.344870353897527	0.180609723289887	-0.555303233700775	0.279658126414963	-0.0241414106567791	-0.592862149989968	0.549812773514386	0.463218606180562	-0.368491946816193	0.703667411438128	0.146163446353643	0.0247383415599349	-0.035711412811266	0.187868516556903	-0.0954204470347052	-0.170069520479717	0.298748411315873	0.18393227164937	0.0340357993752674	-0.0365164177995107	-0.138165130035072	-0.176876918410872	-0.307419138325558	0.410715741807501	-0.338558824008455	-0.468500875270704	-0.348421899159046	-0.147671151232585	-0.432437959437505	-0.503980662297618	-0.304000419061194	0.0563934726568841	0.184934847907446	0.0733887773301548	0.113289618987871	-0.572251074214458	-0.329351344855918	-0.470689149794053	0.111498318672445	-0.0125489636888637	0.35861863869148	0.445534320373316	0.396083408957968	0.470498901615962	0.0229818454001815	0.630907157919392	0.115122932135275	0.818691078652127	-0.508776783886506
Sphingomonadaceae	-0.0692790848880398	-0.0734503722386749	-0.021297099408089	-0.122790346562273	1	-0.0822988170720643	0.0866625210188625	0.335911386547588	-0.201121232161322	-0.119239292001797	0.362194695158978	0.327842117634603	-0.12238103065035	0.140756031338229	0.0159157743743727	0.409556562202723	-0.0287101409958206	-0.153493760053363	0.364174566646481	0.412456467431883	0.194206228118012	-0.0825330814462207	0.152178714933078	0.387598192239487	-0.105021131348832	-0.144649501301975	0.350063791070137	-0.228178451364717	-0.182586676036217	0.140553610287355	0.0181554425127405	0.242052166744292	-0.108858460369008	0.304227678009372	0.101115858596377	0.0243917009903505	0.102434273510244	-0.128655937774389	-0.0904037851190822	-0.1713878331652	0.3790698905965	0.0691329266570677	0.110121718335986	0.278361448119259	-0.157822762990867	0.107263258838848	-0.303005890049076	-0.136667675337573	0.389629822134151	-0.170599392696961	0.0153859643915596	0.0344525262403287	0.102935433760281	-0.179683097448329	0.224999029752586	-0.0948040363072874	0.0644356278156103	0.105679444800654	0.36477152364099	0.282752138154137	-0.37437602735553	-0.0158879369492294	0.198065031790773	-0.215106937841502	0.400789143182243	0.252262157502277	-0.175590149326517	0.22468923387781	0.0750070255087593	-0.180877694060657	0.0378007364019373	0.0310542498712737	0.286287738758002	-0.00247786802050771	0.317355744138736	-0.0731545640230835	0.249769368538425	-0.0905874116317671	0.0707252832903709	0.0105328438157938	-0.283330106769792	0.0922299231039282	0.0442718109002996	0.255553059582425	-0.0402811487748344	0.021325698826661	0.100070826861084	-0.0405292038071582	0.185465346418339	0.128099597530558	-0.130942281237319	0.321072231020735	-0.0232367515538362	0.108872584302555	0.116391710339516	-0.0315858950029695	-0.166416646031644	0.469981434231599	-0.393818086760568	0.00698045806790983	-0.196885899449283	-0.0220268134936092	-0.290588494198521	0.110607057536873	-0.240957328792012	0.0377577241976568	0.384292602195977	-0.0704887686309884	0.0273649605962653	0.127442599771272	-0.0271790046413811	-0.0489486861079475	-0.00273515586049574	0.133721739622762	0.138940835695588	0.168171913307397	0.156518058841006	0.10816153691877	0.124851395165895	0.152580579792055	-0.0832339078213617	-0.213987849921501	0.039881402059945	-0.241777328695265	0.292045450038002	0.0676220489111775	0.0962616080331078	-0.332694579179418	-0.233969158116381	-0.0850918499135392	-0.138300879955215	-0.111111351416862	0.0525184779940653	-0.0828461142322632	-0.184712218426746	-0.249159768537087	-0.182236789388144	0.287672143511257
Lachnospiraceae	-0.0700422564058499	0.0963619311940727	0.0685133673724068	0.968752212143836	-0.0822988170720643	1	-0.252230911028506	-0.175125542261464	0.313883048556531	0.475613678473832	-0.569631918377029	-0.300796286884945	0.223021990239424	0.369651010774639	-0.448410694141054	-0.216155799702083	-0.223658759123211	0.421536750310092	-0.400669752583568	-0.528775031564478	-0.455684332267875	0.258675989538221	0.377291857596284	-0.411978652845439	0.327469317356921	0.0264282078209813	0.31570667583489	0.386404858499246	-0.346837773931467	0.0277699023876799	0.33447928222897	0.389909056715642	-0.172039283982513	-0.236291920986253	-0.00121357514545401	0.309976826225094	-0.4142274038684	0.120602326572287	0.668700689328893	0.26114312592969	-0.125005738009322	0.028193046074949	-0.140091893521608	-0.383008301377278	-0.136439341329829	0.475176516048747	0.614167900915791	-0.0602250873581429	-0.371878189778014	0.444487955818155	0.373999563406881	0.409482748554081	-0.0775592482164355	0.481275043533309	0.210521168275546	-0.0274733171889009	-0.0155378828036962	-0.371012114446884	-0.390051527130048	-0.22441430164827	0.0765223540151846	0.911182619779291	-0.148401524604449	0.390706754168493	0.132601004699142	-0.0293472296814683	0.358406549436333	-0.212148412539696	0.149126771491828	0.226115215266637	0.263873617360083	-0.492872456365201	-0.354030505036667	0.045943576789218	-0.288568383191156	0.138483781478992	-0.362567737369104	0.440227602868787	-0.528783564569029	0.554624975163405	0.590402754751403	0.106703430472616	-0.278487179846015	0.102851391624914	0.364759672108566	0.115214741041054	0.360053037076466	0.492759152442341	-0.407462068193515	-0.318211807396413	0.133364250471323	-0.5377867791473	0.331204320184507	0.0196734137146786	-0.551149624640291	0.588435480731694	0.400753199068663	-0.320824188561564	0.731064720773943	0.263915666618843	0.104379034571518	-0.00887542059988069	0.18784841061689	-0.0455214946840894	-0.198818356324299	0.286018212121961	0.156464958929898	0.0558541471696424	-0.0523872785478916	-0.184088200634695	-0.168972811577968	-0.26790874641126	0.380862273366854	-0.318313896127528	-0.465867812889533	-0.345142543141887	-0.0875382332788091	-0.442292974886252	-0.495545405717913	-0.285474895343457	0.100637509440757	0.231406806121977	0.0653337514704229	0.261242648384738	-0.570111469662024	-0.388665806508781	-0.468639245797102	0.130661062487887	-0.0258525813649143	0.456784696454724	0.421210525560583	0.440784006210544	0.558691147907696	0.0986074242079582	0.511467807084553	0.0583583802590135	0.768436041853385	-0.495616525304685
Rhodospirillaceae	0.00551102103015015	0.0522042871947022	-0.165989636229269	-0.26632192334202	0.0866625210188625	-0.252230911028506	1	0.3222318240803	0.194287254067593	0.0584179516768868	0.223615414706529	0.296102704773249	-0.0438780395073298	0.045278468321626	0.176879343143188	0.264283409949161	0.0991182625614311	-0.184024516491414	0.386125023643905	0.321451834607963	0.314176765343454	-0.196774828930931	-0.0403846524876337	0.199095730146794	-0.127286949848972	-0.13074819686033	0.0679780242673193	-0.314341798050733	0.0180295755846694	0.18212651123231	0.122929039591427	-0.234968939327825	0.0536833921604745	0.0747966979985399	0.323622561318552	0.0605762492818311	0.323507538430216	-0.00635338346590647	-0.207393592914587	-0.219610209594175	0.464196023403942	0.167032576832466	0.307059490187881	0.0752794172479482	0.42126462732787	0.00206756949666133	-0.421133221166628	0.188080546945207	0.167318896199268	-0.179490646894594	-0.0170649943785325	-0.141558641243354	0.21205958278208	0.0231069958298847	0.12949891977035	0.121786803583177	0.163091270119125	0.75714143441639	0.121679329390142	0.434415205610405	-0.265334243592048	-0.24463008626018	-0.0805004112433919	-0.30933523257923	-0.0130817423793187	0.114650855303658	-0.252382317279666	0.253094671054567	-0.242775102982421	-0.183468280697548	-0.062780476693371	0.348888204542164	0.277771953133912	0.19145659708109	0.325183917402195	-0.151413817588656	0.335457925943887	-0.352485510158223	0.10505995830784	-0.185995899254729	-0.0453319914444127	0.254181754540282	0.130720213885079	0.305463797075915	-0.157273266029491	0.00590937473323342	0.131094454229826	-0.0666831830842762	0.0787062338399998	0.169656708338174	-0.042664379093536	0.361180768585285	0.0264223034794072	-0.0381289956347783	0.293033867364935	-0.119810935431749	-0.213926138098601	0.269503963163634	-0.274685908421808	0.0130631362597986	0.024525264336497	0.471361448121367	0.0827656566194183	0.0346651710147017	0.0465615011931842	-0.223160000101478	-0.0421203399614806	-0.0873616837882179	0.011860646506839	0.149574547715206	-0.112749836239635	0.32047445628387	-0.0705331570506084	0.0928065824739146	0.257899062705302	-0.0177246599213449	0.190243895158821	0.205276703964855	0.365757907277709	0.440014383656299	-0.20556275208861	-0.1373756686144	0.059009732678166	-0.240260589117809	0.380192171316766	0.401455166448739	0.269207265974478	-0.299482482103261	0.00340337708580359	-0.225119107749258	-0.26531798157961	-0.277840346188333	-0.0732220104161174	0.0518245102381116	-0.43643131159654	-0.224998987318548	-0.195122996034579	0.297608787622896
Planctomycetaceae	-0.171568900280809	0.0796021635361518	-0.0693527664959871	-0.192686711843794	0.335911386547588	-0.175125542261464	0.3222318240803	1	0.121559852034515	-0.122740813151683	0.41359010384228	0.345602282064116	-0.00182477289569525	0.122697975684244	0.139781787995985	0.468197358202899	0.0947318192761442	0.178120599731318	0.255773736614633	0.466605712445046	0.289007724300957	-0.265843190079497	0.249757963935024	0.46031601840138	-0.288222365840994	0.200471810295086	0.0937077348831124	0.0295371221742709	-0.178926975858945	0.461577846990741	0.0656267568967229	-0.114202960510061	0.0322173433382485	0.0451647675010193	0.407080126847505	0.104929095262841	0.348523068352179	-0.0724305353760285	-0.041023679549709	-0.173319367926496	0.582374773975446	0.26150227617958	0.712586756251896	0.0835152798802797	0.111289787135407	0.135918424701639	-0.205224738773278	0.135497702881745	0.0863767178297993	0.0660230232307885	0.150961481423088	0.174873283789938	0.0492377229092235	-0.205505279735053	0.311123990777354	0.2021624655436	0.197248545848816	0.255539283949573	0.106160585711848	0.447741406370653	-0.233849713816095	-0.03930875640071	-0.0438671910176667	-0.489075361269011	0.557352671442612	0.411877587169782	0.157488206228345	0.464848313228542	0.242427026286578	-0.288227220061138	0.338796618464212	0.477264987798379	0.0231382815909061	0.0485433185413855	0.269461518387052	0.146053750844612	0.0836169436959544	-0.202358482976556	0.135349547427854	0.0895480892993619	-0.305139761444851	0.045148377982738	0.0636947888042215	0.256393097922963	0.09591149986558	0.178928320201719	0.250119693632007	-0.200964528662845	0.0552922144807329	0.324181471039029	-0.190817315268962	0.333543798404396	0.262789106466161	0.449954145967127	0.292611580177167	0.145159839170263	0.0847578312402461	0.441532596762618	-0.225254339608353	0.333301724001854	0.0140463841563517	0.2787555998429	-0.16432118028051	0.491320670832862	-0.0307520516024144	-0.315689640804138	0.254270460057182	0.198314355239965	0.187177244795252	0.112073834727712	0.32159796296538	0.464360060213573	0.0843008705102251	0.195697110885652	0.0737774744814785	0.247217422278803	0.24546203614569	0.210527251558899	0.145636977672829	0.514871537288293	0.360158049347709	-0.00356282839670513	0.282627271160885	-0.145923338054775	0.241424409187172	0.0638660008792039	0.254635151769774	-0.206737296042112	-0.214909990305261	-0.0129249014996005	-0.204826826705316	-0.0280948619627018	0.246352593862921	0.0720169161485351	-0.0423626060096552	-0.236117359828511	-0.22490832466947	0.188056782342885
Syntrophobacteraceae	0.287041786307576	0.542630085457791	-0.276019905042526	0.286786782401522	-0.201121232161322	0.313883048556531	0.194287254067593	0.121559852034515	1	0.283013557978903	-0.376427797202795	-0.104109155697786	0.683597702915768	0.350976821655694	0.0269623313774004	-0.117147726285005	-0.314838625498686	0.626595744623853	-0.154874684185893	-0.273389628044712	0.145085147901052	0.0165231931180753	0.353521549237388	0.0533758393707435	-0.0589072546683564	0.57340582259132	0.143057346500155	0.366971079569838	-0.0751661889997364	0.0578061800142286	0.231556491757461	0.184552114506672	0.238986025000214	-0.0135183335517894	0.202286767685435	0.482378388931669	-0.213250245176402	-0.212908852842552	0.596276912062557	0.0420646838683765	-0.0285537298740147	0.358347457232628	0.245438804532916	-0.117630080862756	0.463780612256964	0.462661376389441	0.481086543971594	0.45445312890693	-0.231348687134172	0.632480806290034	0.727587693408752	0.206335911800086	-0.230972765372634	0.152630194678471	0.456994302919942	0.279584805832191	-0.223160098326221	0.136668951010318	-0.290919192768703	0.286184620831028	0.283068938219355	0.341725740341846	0.0580320341922552	0.0940551083553767	0.318133504602172	0.118777241226195	0.306905979686522	-0.0342838374659671	0.431671211367937	0.0348753408291492	0.0692573928487953	0.000872881288292366	-0.0878635245793178	0.439082095552087	-0.0947718322671816	0.141080003622022	-0.202239068037033	0.198429181249367	-0.240215287741942	0.617465607851762	0.0576925852141866	-0.119207699588902	-0.0562347108590212	0.240146120475622	0.273053474957296	0.106198617110565	0.391281719096608	-0.109710405999588	-0.332013474540457	-0.278231057016534	-0.055639453127154	-0.127530776815373	0.560687379870409	0.221455913652716	-0.0651369525714246	0.527903582349413	-0.111156585186091	0.0059287998299229	0.25234067571729	0.568639748292474	0.456306790635587	0.13174093469381	0.12049080160769	0.0470573266878602	0.0286435920288963	-0.0958195140413409	0.00803869739699786	0.45546475221509	-0.131519696700272	-0.247526164924466	-0.132153371165555	0.260298141306256	0.00992451507226564	-0.0533652622508231	-0.164924352992534	-0.231438886782666	-0.0857319912887519	-0.372359631797544	-0.121121703389915	-0.0926353584164613	0.382680549479423	0.464097083636676	-0.0658198053121939	0.313297309118087	-0.216530443819636	0.0252386318176873	-0.322383314541375	0.0316423930127643	-0.117664640429339	0.0947322266831491	0.0154113126182668	0.477859230050831	0.620923067125856	0.425708498560444	0.176213056500716	-0.0186024405136837	0.136998369899609	-0.318812137933862
Flavobacteriaceae	0.168819359305565	0.0417447816550468	-0.293146201501804	0.42827246407258	-0.119239292001797	0.475613678473832	0.0584179516768868	-0.122740813151683	0.283013557978903	1	-0.310992696851131	-0.11498713468831	0.187555974582658	0.470841424424461	-0.160635674628022	-0.106243391718731	-0.0735930535845624	0.302304142117448	0.0499232440849892	-0.258074072216537	-0.382105538675638	-0.0305250791559269	0.309371443249385	-0.263095546760855	0.587205264677438	-0.169645399766144	0.38888549696233	-0.0121959138476315	-0.0470231498226471	0.0842776235177325	0.225647781086426	0.0727994947698539	-0.0279523304606951	-0.0489972839840999	-0.172802521963817	0.0050176012660645	-0.0486688528237653	0.0218128250570188	0.344966888053421	-0.0229555259527139	0.0463612208902437	-0.0584585786527276	-0.00437336029859935	-0.0971932435218188	0.126723231917754	0.163088280005403	0.114504213642402	-0.0225178319873102	-0.289140219591903	0.229514970812469	0.0187913560206238	0.254106806022957	-0.125863239044529	0.226842456459784	0.111262425304334	-0.0542648604704253	-0.231868843345792	-0.0971986811921417	-0.292393315503626	-0.0745057123463273	-0.101252076258745	0.476367895648171	-0.359662092649974	0.133742067392903	-0.154605054492552	-0.0355167550236731	0.0923138459484406	-0.113762501220568	-0.0119328708462697	-0.0558152577687632	0.0949585636670374	-0.073025279189471	-0.178557666316408	0.139491890971712	-0.263097263933846	0.150397032021033	-0.052362607860794	0.0372101427421452	-0.348662843891688	0.199859078217341	0.210430179044145	0.319253653210841	-0.130468349495025	0.319288567038445	0.228661319397519	0.157446430531913	0.125819924314105	0.381736610523267	-0.169221507253709	0.018753687048362	0.0282214775945873	-0.269584603454692	0.190700552350087	-0.0619427645643014	-0.296621881811801	0.232320878907763	0.251422903255392	-0.0385897186440026	0.32183665200323	0.119875643426726	-0.144991521163759	0.119006648853382	0.245481656732359	0.022274789949678	-0.386362161069856	0.0584905249551303	0.0923677703393487	-0.0214588488165361	0.0116641150137816	0.0523699546598603	-0.105160465712937	0.101091577430178	0.297089553903392	-0.153855491999669	-0.25040317780167	-0.269629847456654	0.0313877623203976	-0.0691543822936284	-0.0681059196911395	-0.186344503400274	-0.0477815177837073	0.0563893285865727	0.0670129446149327	0.213988747006633	-0.148796771851921	-0.20241672972048	-0.0956322149619239	-0.0406342199759488	0.0644797467389536	0.516405958736462	0.549462072746422	-0.0093139078410656	0.203454969994667	0.0108648850189871	-0.0914188036384662	-0.0976572892642908	0.170981263724609	-0.166570881906805
