source	target	weight	class
Clostridiaceae_1	Lachnospiraceae	0.968752212143836	1
Comamonadaceae	Rhodobacteraceae	0.826680243144137	1
Xanthomonadaceae	Rhodobacteraceae	0.808335586484955	1
Rhizobiaceae	Rhodobacteraceae	0.70996720158048	1
Geobacteraceae	Nitrospiraceae	0.733895961900757	1
Paenibacillaceae_1	Porphyromonadaceae	0.75257766369066	1
Planctomycetaceae	Opitutaceae	0.712586756251896	1
Burkholderiales_incertae_sedis	Gracilibacteraceae	0.773454531854875	1
Planococcaceae	Gracilibacteraceae	0.725077891522453	1
Ruminococcaceae	Desulfobulbaceae	0.745656837503733	1
Planococcaceae	Desulfobacteraceae	0.784839289553953	1
Gracilibacteraceae	Desulfobacteraceae	0.734573966126737	1
Syntrophobacteraceae	Solirubrobacteraceae	0.727587693408752	1
Nocardioidaceae	Intrasporangiaceae	0.727338416425898	1
Rhodospirillaceae	Haliangiaceae	0.75714143441639	1
Clostridiaceae_1	Peptostreptococcaceae	0.938708084777227	1
Lachnospiraceae	Peptostreptococcaceae	0.911182619779291	1
Comamonadaceae	Thermomonosporaceae	0.720453776344601	2
Methylococcaceae	Thermomonosporaceae	0.777011290105799	1
Burkholderiales_incertae_sedis	Nannocystaceae	0.809187290068067	1
Desulfobacteraceae	Nannocystaceae	0.7139891195771	1
Xanthomonadaceae	Gemmatimonadaceae	0.769004829345815	1
Rhodobacteraceae	Gemmatimonadaceae	0.755185496696607	1
Opitutaceae	Veillonellaceae	0.710954104556404	1
Porphyromonadaceae	Mycobacteriaceae	0.740195625842716	1
Gracilibacteraceae	Sandaracinaceae	0.725342014854391	1
Bacillaceae_1	Coriobacteriaceae	0.772149764034585	1
Ignavibacteriaceae	Geodermatophilaceae	0.712895146472095	1
Planococcaceae	Geodermatophilaceae	0.808444226152421	1
Desulfobacteraceae	Geodermatophilaceae	0.761783373342693	1
Intrasporangiaceae	Micrococcaceae	0.813590009566754	1
Bacillaceae_1	Bacillales_Incertae_Sedis_XII	0.763891577608006	1
Coriobacteriaceae	Bacillales_Incertae_Sedis_XII	0.729955239180676	1
Pseudomonadaceae	Chromatiaceae	0.808950851988815	1
Rhodobacteraceae	Nitrosomonadaceae	0.761283158603352	1
Ignavibacteriaceae	Iamiaceae	0.721740323602021	1
Desulfobacteraceae	Iamiaceae	0.743496145355581	1
Geodermatophilaceae	Iamiaceae	0.74867107031519	1
Planococcaceae	Rhodobiaceae	0.860545780849819	1
Desulfobacteraceae	Rhodobiaceae	0.759364990202643	1
Iamiaceae	Rhodobiaceae	0.735037073625092	1
Xanthomonadaceae	Rhizobiales_incertae_sedis	0.754148505857428	1
Rhizobiaceae	Rhizobiales_incertae_sedis	0.80286008589835	1
Rhodobacteraceae	Rhizobiales_incertae_sedis	0.822026848760466	1
Lachnospiraceae	Clostridiales_Incertae_Sedis_XIII	0.731064720773943	1
Clostridiales_Incertae_Sedis_XVIII	Alicyclobacillaceae	0.792069205420856	1
Saprospiraceae	Acidimicrobineae_incertae_sedis	0.753493525997076	1
Thermoactinomycetaceae_1	Thermoactinomycetaceae_2	0.794208742749363	1
Coriobacteriaceae	Deinococcaceae	0.77472061326652	1
