genus	degree
Paenibacillaceae_1	1
Ruminococcaceae	2
Clostridiaceae_1	3
Lachnospiraceae	4
Rhodospirillaceae	1
Planctomycetaceae	1
Syntrophobacteraceae	1
Comamonadaceae	2
Ignavibacteriaceae	2
Geobacteraceae	1
Xanthomonadaceae	4
Bacillaceae_1	2
Rhizobiaceae	2
Rhodobacteraceae	7
Nitrospiraceae	1
Methylococcaceae	1
Nocardioidaceae	1
Enterobacteriaceae	1
Burkholderiales_incertae_sedis	2
Microbacteriaceae	1
Porphyromonadaceae	2
Pseudomonadaceae	4
Planococcaceae	6
Opitutaceae	2
Gracilibacteraceae	5
Desulfobulbaceae	2
Desulfobacteraceae	8
Solirubrobacteraceae	2
Intrasporangiaceae	2
Haliangiaceae	1
Peptostreptococcaceae	3
Thermomonosporaceae	2
Nannocystaceae	3
Gemmatimonadaceae	3
Veillonellaceae	1
Mycobacteriaceae	1
Thermoactinomycetaceae_1	1
Sandaracinaceae	2
Coriobacteriaceae	3
Geodermatophilaceae	5
Streptosporangiaceae	1
Micrococcaceae	1
Labilitrichaceae	1
Bacteroidaceae	1
Bacillales_Incertae_Sedis_XII	2
Chromatiaceae	3
Clostridiales_Incertae_Sedis_XVIII	1
Nitrosomonadaceae	3
Iamiaceae	6
Saprospiraceae	1
Holophagaceae	1
Rhodobiaceae	4
Rhizobiales_incertae_sedis	3
Clostridiales_Incertae_Sedis_XIII	2
Hyphomonadaceae	2
Alicyclobacillaceae	1
Acidimicrobineae_incertae_sedis	2
Thermoactinomycetaceae_2	1
Kineosporiaceae	1
Oligoflexaceae	1
Deinococcaceae	2
Herpetosiphonaceae	2
Chloroplast	3
Clostridiaceae_4	5
Cryomorphaceae	2
Syntrophorhabdaceae	2
Demequinaceae	2
Marinilabiliaceae	1
Family_V	5
Campylobacteraceae	1
Eubacteriaceae	1
Hydrogenophilaceae	3
Erysipelotrichaceae	8
Desulfomicrobiaceae	2
Leptotrichiaceae	4
Thermaceae	7
